ticket_number,booking_id,itinerary_id,passenger_id,leg_sequence,total_legs,trip_id,route_id,origin_terminal_id,destination_terminal_id,base_fare,discount_amount,tax_amount,net_ticket_revenue,loyalty_points_earned,loyalty_points_redeemed,promotion_code
TICK-006430,BKG-003225,ITI-003225,P01042,2,2,TRIP-001795,RTE-10,TRM-10,TRM-11,231000,23000,23000,231000,23,0,EARLY10
TICK-006431,BKG-003226,ITI-003226,P02612,1,3,TRIP-002753,RTE-08,TRM-08,TRM-09,129000,0,14000,143000,14,0,
TICK-006432,BKG-003226,ITI-003226,P02612,2,3,TRIP-002754,RTE-09,TRM-09,TRM-10,279000,0,31000,310000,31,0,
TICK-006433,BKG-003226,ITI-003226,P02612,3,3,TRIP-002755,RTE-28,TRM-10,TRM-15,190000,0,21000,211000,21,0,
TICK-006434,BKG-003227,ITI-003227,P01674,1,3,TRIP-000137,RTE-03,TRM-03,TRM-04,83000,0,9000,92000,9,0,
TICK-006435,BKG-003227,ITI-003227,P01674,2,3,TRIP-000138,RTE-04,TRM-04,TRM-05,197000,0,22000,219000,22,0,
TICK-006436,BKG-003227,ITI-003227,P01674,3,3,TRIP-000139,RTE-05,TRM-05,TRM-06,407000,0,45000,452000,45,0,
TICK-006437,BKG-003228,ITI-003228,P02325,1,3,TRIP-000919,RTE-24,TRM-24,TRM-25,392000,0,43000,435000,44,0,
TICK-006438,BKG-003228,ITI-003228,P02325,2,3,TRIP-000920,RTE-25,TRM-25,TRM-01,267000,0,29000,296000,30,0,
TICK-006439,BKG-003228,ITI-003228,P02325,3,3,TRIP-001675,RTE-01,TRM-01,TRM-02,278000,0,31000,309000,31,0,
TICK-006440,BKG-003229,ITI-003229,P01727,1,2,TRIP-002186,RTE-02,TRM-02,TRM-03,59000,0,6000,65000,6,0,
TICK-006441,BKG-003229,ITI-003229,P01727,2,2,TRIP-002187,RTE-03,TRM-03,TRM-04,70000,0,8000,78000,8,0,
TICK-006442,BKG-003230,ITI-003230,P00793,1,2,TRIP-000366,RTE-17,TRM-17,TRM-18,82000,4000,9000,87000,9,0,APP5
TICK-006443,BKG-003230,ITI-003230,P00793,2,2,TRIP-000367,RTE-18,TRM-18,TRM-19,235000,12000,25000,248000,25,0,APP5
TICK-006444,BKG-003231,ITI-003231,P02171,1,2,TRIP-000870,RTE-12,TRM-12,TRM-13,106000,11000,10000,105000,10,0,EARLY10
TICK-006445,BKG-003231,ITI-003231,P02171,2,2,TRIP-000871,RTE-13,TRM-13,TRM-14,202000,20000,20000,202000,20,0,EARLY10
TICK-006446,BKG-003232,ITI-003232,P02364,1,3,TRIP-000676,RTE-23,TRM-23,TRM-24,149000,0,16000,165000,16,0,
TICK-006447,BKG-003232,ITI-003232,P02364,2,3,TRIP-001220,RTE-24,TRM-24,TRM-25,232000,0,26000,258000,26,0,
TICK-006448,BKG-003232,ITI-003232,P02364,3,3,TRIP-002756,RTE-25,TRM-25,TRM-01,214000,0,24000,238000,24,0,
TICK-006449,BKG-003233,ITI-003233,P00690,1,2,TRIP-001283,RTE-19,TRM-19,TRM-20,94000,0,10000,104000,10,0,
TICK-006450,BKG-003233,ITI-003233,P00690,2,2,TRIP-002757,RTE-30,TRM-20,TRM-25,281000,0,31000,312000,31,0,
TICK-006451,BKG-003234,ITI-003234,P01908,1,3,TRIP-000625,RTE-29,TRM-15,TRM-20,267000,13000,28000,282000,28,0,APP5
TICK-006452,BKG-003234,ITI-003234,P01908,2,3,TRIP-001356,RTE-30,TRM-20,TRM-25,422000,21000,44000,445000,44,0,APP5
TICK-006453,BKG-003234,ITI-003234,P01908,3,3,TRIP-001509,RTE-25,TRM-25,TRM-01,257000,13000,27000,271000,27,0,APP5
TICK-006454,BKG-003235,ITI-003235,P03696,1,1,TRIP-000516,RTE-01,TRM-01,TRM-02,165000,0,18000,183000,18,0,
TICK-006455,BKG-003236,ITI-003236,P02160,1,1,TRIP-001325,RTE-07,TRM-07,TRM-08,294000,29000,29000,294000,29,0,EARLY10
TICK-006456,BKG-003237,ITI-003237,P02942,1,2,TRIP-000041,RTE-21,TRM-21,TRM-22,187000,9000,20000,198000,20,0,APP5
TICK-006457,BKG-003237,ITI-003237,P02942,2,2,TRIP-002590,RTE-22,TRM-22,TRM-23,178000,9000,19000,188000,19,0,APP5
TICK-006458,BKG-003238,ITI-003238,P01371,1,1,TRIP-001475,RTE-08,TRM-08,TRM-09,218000,0,24000,242000,24,10,
TICK-006459,BKG-003239,ITI-003239,P03284,1,2,TRIP-000043,RTE-07,TRM-07,TRM-08,294000,0,32000,326000,33,0,
TICK-006460,BKG-003239,ITI-003239,P03284,2,2,TRIP-000044,RTE-08,TRM-08,TRM-09,155000,0,17000,172000,17,0,
TICK-006461,BKG-003240,ITI-003240,P00521,1,2,TRIP-000702,RTE-17,TRM-17,TRM-18,65000,3000,7000,69000,7,0,APP5
TICK-006462,BKG-003240,ITI-003240,P00521,2,2,TRIP-001643,RTE-18,TRM-18,TRM-19,294000,15000,31000,310000,31,0,APP5
TICK-006463,BKG-003241,ITI-003241,P01514,1,2,TRIP-000047,RTE-16,TRM-16,TRM-17,208000,21000,21000,208000,21,0,EARLY10
TICK-006464,BKG-003241,ITI-003241,P01514,2,2,TRIP-000048,RTE-17,TRM-17,TRM-18,82000,8000,8000,82000,8,0,EARLY10
TICK-006465,BKG-003242,ITI-003242,P02172,1,2,TRIP-002758,RTE-11,TRM-11,TRM-12,174000,0,19000,193000,19,0,
TICK-006466,BKG-003242,ITI-003242,P02172,2,2,TRIP-002759,RTE-12,TRM-12,TRM-13,110000,0,12000,122000,12,0,
TICK-006467,BKG-003243,ITI-003243,P01409,1,1,TRIP-000555,RTE-22,TRM-22,TRM-23,250000,0,28000,278000,28,0,
TICK-006468,BKG-003244,ITI-003244,P03707,1,2,TRIP-002760,RTE-18,TRM-18,TRM-19,245000,0,27000,272000,27,0,
TICK-006469,BKG-003244,ITI-003244,P03707,2,2,TRIP-002761,RTE-19,TRM-19,TRM-20,75000,0,8000,83000,8,0,
TICK-006470,BKG-003245,ITI-003245,P03531,1,3,TRIP-000229,RTE-14,TRM-14,TRM-15,343000,0,38000,381000,38,0,
TICK-006471,BKG-003245,ITI-003245,P03531,2,3,TRIP-001275,RTE-29,TRM-15,TRM-20,267000,0,29000,296000,30,0,
TICK-006472,BKG-003245,ITI-003245,P03531,3,3,TRIP-002762,RTE-30,TRM-20,TRM-25,337000,0,37000,374000,37,0,
TICK-006473,BKG-003246,ITI-003246,P02922,1,2,TRIP-002132,RTE-22,TRM-22,TRM-23,222000,11000,23000,234000,23,0,APP5
TICK-006474,BKG-003246,ITI-003246,P02922,2,2,TRIP-000175,RTE-23,TRM-23,TRM-24,223000,11000,23000,235000,24,0,APP5
TICK-006475,BKG-003247,ITI-003247,P00793,1,3,TRIP-001650,RTE-07,TRM-07,TRM-08,294000,0,32000,326000,33,0,
TICK-006476,BKG-003247,ITI-003247,P00793,2,3,TRIP-002212,RTE-08,TRM-08,TRM-09,194000,0,21000,215000,22,0,
TICK-006477,BKG-003247,ITI-003247,P00793,3,3,TRIP-002213,RTE-09,TRM-09,TRM-10,199000,0,22000,221000,22,0,
TICK-006478,BKG-003248,ITI-003248,P00616,1,3,TRIP-001442,RTE-10,TRM-10,TRM-11,374000,0,41000,415000,42,0,
TICK-006479,BKG-003248,ITI-003248,P00616,2,3,TRIP-001443,RTE-11,TRM-11,TRM-12,209000,0,23000,232000,23,0,
TICK-006480,BKG-003248,ITI-003248,P00616,3,3,TRIP-002763,RTE-12,TRM-12,TRM-13,178000,0,20000,198000,20,0,
TICK-006481,BKG-003249,ITI-003249,P00388,1,1,TRIP-001156,RTE-12,TRM-12,TRM-13,110000,0,12000,122000,12,0,
TICK-006482,BKG-003250,ITI-003250,P00599,1,2,TRIP-002134,RTE-25,TRM-25,TRM-01,321000,0,35000,356000,36,0,
TICK-006483,BKG-003250,ITI-003250,P00599,2,2,TRIP-001728,RTE-26,TRM-01,TRM-05,188000,0,21000,209000,21,0,
TICK-006484,BKG-003251,ITI-003251,P00565,1,2,TRIP-000398,RTE-21,TRM-21,TRM-22,187000,0,21000,208000,21,0,
TICK-006485,BKG-003251,ITI-003251,P00565,2,2,TRIP-000387,RTE-22,TRM-22,TRM-23,178000,0,20000,198000,20,0,
TICK-006486,BKG-003252,ITI-003252,P02339,1,1,TRIP-001197,RTE-03,TRM-03,TRM-04,87000,0,10000,97000,10,0,
TICK-006487,BKG-003253,ITI-003253,P03457,1,3,TRIP-002249,RTE-02,TRM-02,TRM-03,74000,7000,7000,74000,7,0,EARLY10
TICK-006488,BKG-003253,ITI-003253,P03457,2,3,TRIP-002250,RTE-03,TRM-03,TRM-04,70000,7000,7000,70000,7,0,EARLY10
TICK-006489,BKG-003253,ITI-003253,P03457,3,3,TRIP-002251,RTE-04,TRM-04,TRM-05,131000,13000,13000,131000,13,0,EARLY10
TICK-006490,BKG-003254,ITI-003254,P02687,1,2,TRIP-000217,RTE-14,TRM-14,TRM-15,229000,11000,24000,242000,24,30,APP5
TICK-006491,BKG-003254,ITI-003254,P02687,2,2,TRIP-000444,RTE-15,TRM-15,TRM-16,112000,6000,12000,118000,12,0,APP5
TICK-006492,BKG-003255,ITI-003255,P02811,1,1,TRIP-001693,RTE-21,TRM-21,TRM-22,195000,0,21000,216000,22,0,
TICK-006493,BKG-003256,ITI-003256,P03090,1,1,TRIP-002286,RTE-06,TRM-06,TRM-07,81000,0,9000,90000,9,0,
TICK-006494,BKG-003257,ITI-003257,P03340,1,2,TRIP-002516,RTE-12,TRM-12,TRM-13,88000,0,10000,98000,10,0,
TICK-006495,BKG-003257,ITI-003257,P03340,2,2,TRIP-002517,RTE-13,TRM-13,TRM-14,135000,0,15000,150000,15,0,
TICK-006496,BKG-003258,ITI-003258,P03932,1,2,TRIP-001546,RTE-03,TRM-03,TRM-04,70000,0,8000,78000,8,0,
TICK-006497,BKG-003258,ITI-003258,P03932,2,2,TRIP-001547,RTE-04,TRM-04,TRM-05,164000,0,18000,182000,18,0,
TICK-006498,BKG-003259,ITI-003259,P03735,1,3,TRIP-000526,RTE-24,TRM-24,TRM-25,232000,23000,23000,232000,23,0,EARLY10
TICK-006499,BKG-003259,ITI-003259,P03735,2,3,TRIP-002190,RTE-25,TRM-25,TRM-01,267000,27000,26000,266000,27,0,EARLY10
TICK-006500,BKG-003259,ITI-003259,P03735,3,3,TRIP-002764,RTE-01,TRM-01,TRM-02,206000,21000,20000,205000,20,0,EARLY10
TICK-006501,BKG-003260,ITI-003260,P01878,1,2,TRIP-000854,RTE-02,TRM-02,TRM-03,59000,0,6000,65000,6,0,
TICK-006502,BKG-003260,ITI-003260,P01878,2,2,TRIP-000855,RTE-03,TRM-03,TRM-04,70000,0,8000,78000,8,0,
TICK-006503,BKG-003261,ITI-003261,P01671,1,3,TRIP-001107,RTE-22,TRM-22,TRM-23,178000,0,20000,198000,20,0,
TICK-006504,BKG-003261,ITI-003261,P01671,2,3,TRIP-000944,RTE-23,TRM-23,TRM-24,178000,0,20000,198000,20,0,
TICK-006505,BKG-003261,ITI-003261,P01671,3,3,TRIP-000945,RTE-24,TRM-24,TRM-25,348000,0,38000,386000,39,0,
TICK-006506,BKG-003262,ITI-003262,P03022,1,2,TRIP-001144,RTE-08,TRM-08,TRM-09,129000,13000,13000,129000,13,0,EARLY10
TICK-006507,BKG-003262,ITI-003262,P03022,2,2,TRIP-002765,RTE-09,TRM-09,TRM-10,279000,28000,28000,279000,28,0,EARLY10
TICK-006508,BKG-003263,ITI-003263,P00577,1,2,TRIP-000982,RTE-17,TRM-17,TRM-18,65000,3000,7000,69000,7,0,APP5
TICK-006509,BKG-003263,ITI-003263,P00577,2,2,TRIP-000028,RTE-18,TRM-18,TRM-19,235000,12000,25000,248000,25,0,APP5
TICK-006510,BKG-003264,ITI-003264,P01437,1,3,TRIP-000435,RTE-14,TRM-14,TRM-15,229000,0,25000,254000,25,0,
TICK-006511,BKG-003264,ITI-003264,P01437,2,3,TRIP-000540,RTE-29,TRM-15,TRM-20,376000,0,41000,417000,42,0,
TICK-006512,BKG-003264,ITI-003264,P01437,3,3,TRIP-002766,RTE-20,TRM-20,TRM-21,186000,0,20000,206000,21,0,
TICK-006513,BKG-003265,ITI-003265,P01814,1,3,TRIP-002409,RTE-18,TRM-18,TRM-19,196000,0,22000,218000,22,0,
TICK-006514,BKG-003265,ITI-003265,P01814,2,3,TRIP-002767,RTE-19,TRM-19,TRM-20,75000,0,8000,83000,8,0,
TICK-006515,BKG-003265,ITI-003265,P01814,3,3,TRIP-002768,RTE-20,TRM-20,TRM-21,149000,0,16000,165000,16,0,
TICK-006516,BKG-003266,ITI-003266,P03136,1,1,TRIP-000375,RTE-07,TRM-07,TRM-08,294000,0,32000,326000,33,0,
TICK-006517,BKG-003267,ITI-003267,P01794,1,2,TRIP-001972,RTE-23,TRM-23,TRM-24,251000,0,28000,279000,28,0,
TICK-006518,BKG-003267,ITI-003267,P01794,2,2,TRIP-002769,RTE-24,TRM-24,TRM-25,290000,0,32000,322000,32,0,
TICK-006519,BKG-003268,ITI-003268,P00998,1,1,TRIP-002039,RTE-03,TRM-03,TRM-04,87000,0,10000,97000,10,0,
TICK-006520,BKG-003269,ITI-003269,P00349,1,1,TRIP-000423,RTE-04,TRM-04,TRM-05,131000,0,14000,145000,14,0,
TICK-006521,BKG-003270,ITI-003270,P03343,1,1,TRIP-000701,RTE-16,TRM-16,TRM-17,259000,13000,27000,273000,27,20,APP5
TICK-006522,BKG-003271,ITI-003271,P03991,1,2,TRIP-000339,RTE-13,TRM-13,TRM-14,162000,0,18000,180000,18,0,
TICK-006523,BKG-003271,ITI-003271,P03991,2,2,TRIP-000340,RTE-14,TRM-14,TRM-15,343000,0,38000,381000,38,0,
TICK-006524,BKG-003272,ITI-003272,P02808,1,3,TRIP-002770,RTE-01,TRM-01,TRM-02,165000,0,18000,183000,18,0,
TICK-006525,BKG-003272,ITI-003272,P02808,2,3,TRIP-000652,RTE-02,TRM-02,TRM-03,100000,0,11000,111000,11,0,
TICK-006526,BKG-003272,ITI-003272,P02808,3,3,TRIP-002771,RTE-03,TRM-03,TRM-04,87000,0,10000,97000,10,0,
TICK-006527,BKG-003273,ITI-003273,P01762,1,1,TRIP-000498,RTE-29,TRM-15,TRM-20,267000,0,29000,296000,30,0,
TICK-006528,BKG-003274,ITI-003274,P02432,1,3,TRIP-002772,RTE-17,TRM-17,TRM-18,55000,3000,6000,58000,6,0,APP5
TICK-006529,BKG-003274,ITI-003274,P02432,2,3,TRIP-002773,RTE-18,TRM-18,TRM-19,245000,12000,26000,259000,26,0,APP5
TICK-006530,BKG-003274,ITI-003274,P02432,3,3,TRIP-002774,RTE-19,TRM-19,TRM-20,94000,5000,10000,99000,10,0,APP5
TICK-006531,BKG-003275,ITI-003275,P01602,1,2,TRIP-001201,RTE-23,TRM-23,TRM-24,149000,7000,16000,158000,16,0,PEAK5
TICK-006532,BKG-003275,ITI-003275,P01602,2,2,TRIP-001202,RTE-24,TRM-24,TRM-25,232000,12000,24000,244000,24,0,PEAK5
TICK-006533,BKG-003276,ITI-003276,P00987,1,2,TRIP-000927,RTE-04,TRM-04,TRM-05,131000,13000,13000,131000,13,0,EARLY10
TICK-006534,BKG-003276,ITI-003276,P00987,2,2,TRIP-000031,RTE-05,TRM-05,TRM-06,339000,34000,34000,339000,34,0,EARLY10
TICK-006535,BKG-003277,ITI-003277,P03584,1,2,TRIP-002699,RTE-17,TRM-17,TRM-18,65000,0,7000,72000,7,0,
TICK-006536,BKG-003277,ITI-003277,P03584,2,2,TRIP-000746,RTE-18,TRM-18,TRM-19,294000,0,32000,326000,33,0,
TICK-006537,BKG-003278,ITI-003278,P01735,1,3,TRIP-000191,RTE-18,TRM-18,TRM-19,294000,0,32000,326000,33,0,
TICK-006538,BKG-003278,ITI-003278,P01735,2,3,TRIP-000997,RTE-19,TRM-19,TRM-20,112000,0,12000,124000,12,0,
TICK-006539,BKG-003278,ITI-003278,P01735,3,3,TRIP-001890,RTE-20,TRM-20,TRM-21,223000,0,25000,248000,25,0,
TICK-006540,BKG-003279,ITI-003279,P00042,1,3,TRIP-000278,RTE-08,TRM-08,TRM-09,194000,0,21000,215000,22,0,
TICK-006541,BKG-003279,ITI-003279,P00042,2,3,TRIP-000279,RTE-09,TRM-09,TRM-10,199000,0,22000,221000,22,0,
TICK-006542,BKG-003279,ITI-003279,P00042,3,3,TRIP-001570,RTE-10,TRM-10,TRM-11,277000,0,30000,307000,31,0,
TICK-006543,BKG-003280,ITI-003280,P00502,1,1,TRIP-001731,RTE-25,TRM-25,TRM-01,214000,0,24000,238000,24,0,
TICK-006544,BKG-003281,ITI-003281,P01880,1,2,TRIP-002247,RTE-07,TRM-07,TRM-08,196000,0,22000,218000,22,0,
TICK-006545,BKG-003281,ITI-003281,P01880,2,2,TRIP-000587,RTE-08,TRM-08,TRM-09,162000,0,18000,180000,18,0,
TICK-006546,BKG-003282,ITI-003282,P00605,1,2,TRIP-001770,RTE-07,TRM-07,TRM-08,245000,24000,24000,245000,24,0,EARLY10
TICK-006547,BKG-003282,ITI-003282,P00605,2,2,TRIP-001771,RTE-08,TRM-08,TRM-09,162000,16000,16000,162000,16,0,EARLY10
TICK-006548,BKG-003283,ITI-003283,P02140,1,3,TRIP-002402,RTE-09,TRM-09,TRM-10,199000,0,22000,221000,22,0,
TICK-006549,BKG-003283,ITI-003283,P02140,2,3,TRIP-002541,RTE-28,TRM-10,TRM-15,228000,0,25000,253000,25,0,
TICK-006550,BKG-003283,ITI-003283,P02140,3,3,TRIP-000460,RTE-15,TRM-15,TRM-16,134000,0,15000,149000,15,0,
TICK-006551,BKG-003284,ITI-003284,P03386,1,2,TRIP-000028,RTE-18,TRM-18,TRM-19,235000,0,26000,261000,26,0,
TICK-006552,BKG-003284,ITI-003284,P03386,2,2,TRIP-000029,RTE-19,TRM-19,TRM-20,90000,0,10000,100000,10,0,
TICK-006553,BKG-003285,ITI-003285,P03695,1,2,TRIP-001405,RTE-02,TRM-02,TRM-03,89000,9000,9000,89000,9,0,EARLY10
TICK-006554,BKG-003285,ITI-003285,P03695,2,2,TRIP-001381,RTE-03,TRM-03,TRM-04,83000,8000,8000,83000,8,0,EARLY10
TICK-006555,BKG-003286,ITI-003286,P03133,1,1,TRIP-000008,RTE-24,TRM-24,TRM-25,348000,0,38000,386000,39,0,
TICK-006556,BKG-003287,ITI-003287,P02073,1,3,TRIP-000705,RTE-24,TRM-24,TRM-25,392000,0,43000,435000,44,10,
TICK-006557,BKG-003287,ITI-003287,P02073,2,3,TRIP-000706,RTE-25,TRM-25,TRM-01,214000,0,24000,238000,24,0,
TICK-006558,BKG-003287,ITI-003287,P02073,3,3,TRIP-002775,RTE-01,TRM-01,TRM-02,206000,0,23000,229000,23,0,
TICK-006559,BKG-003288,ITI-003288,P01933,1,1,TRIP-002699,RTE-17,TRM-17,TRM-18,65000,0,7000,72000,7,0,
TICK-006560,BKG-003289,ITI-003289,P00748,1,2,TRIP-000515,RTE-25,TRM-25,TRM-01,214000,0,24000,238000,24,0,
TICK-006561,BKG-003289,ITI-003289,P00748,2,2,TRIP-000516,RTE-01,TRM-01,TRM-02,165000,0,18000,183000,18,0,
TICK-006562,BKG-003290,ITI-003290,P01950,1,2,TRIP-002660,RTE-28,TRM-10,TRM-15,190000,19000,19000,190000,19,0,EARLY10
TICK-006563,BKG-003290,ITI-003290,P01950,2,2,TRIP-001920,RTE-29,TRM-15,TRM-20,223000,22000,22000,223000,22,0,EARLY10
TICK-006564,BKG-003291,ITI-003291,P03505,1,1,TRIP-002119,RTE-03,TRM-03,TRM-04,70000,0,8000,78000,8,0,
TICK-006565,BKG-003292,ITI-003292,P02846,1,2,TRIP-001415,RTE-23,TRM-23,TRM-24,178000,0,20000,198000,20,0,
TICK-006566,BKG-003292,ITI-003292,P02846,2,2,TRIP-001416,RTE-24,TRM-24,TRM-25,348000,0,38000,386000,39,0,
TICK-006567,BKG-003293,ITI-003293,P03950,1,2,TRIP-000853,RTE-07,TRM-07,TRM-08,196000,0,22000,218000,22,0,
TICK-006568,BKG-003293,ITI-003293,P03950,2,2,TRIP-001053,RTE-08,TRM-08,TRM-09,129000,0,14000,143000,14,0,
TICK-006569,BKG-003294,ITI-003294,P02086,1,1,TRIP-002776,RTE-29,TRM-15,TRM-20,376000,0,41000,417000,42,0,
TICK-006570,BKG-003295,ITI-003295,P01775,1,1,TRIP-000624,RTE-28,TRM-10,TRM-15,284000,0,31000,315000,32,0,
TICK-006571,BKG-003296,ITI-003296,P00096,1,1,TRIP-000802,RTE-14,TRM-14,TRM-15,229000,23000,23000,229000,23,0,EARLY10
TICK-006572,BKG-003297,ITI-003297,P02802,1,2,TRIP-000858,RTE-24,TRM-24,TRM-25,279000,14000,29000,294000,29,0,APP5
TICK-006573,BKG-003297,ITI-003297,P02802,2,2,TRIP-001854,RTE-25,TRM-25,TRM-01,321000,16000,34000,339000,34,0,APP5
TICK-006574,BKG-003298,ITI-003298,P02122,1,1,TRIP-000886,RTE-05,TRM-05,TRM-06,326000,16000,34000,344000,34,0,PEAK5
TICK-006575,BKG-003299,ITI-003299,P03770,1,2,TRIP-000702,RTE-17,TRM-17,TRM-18,65000,0,7000,72000,7,0,
TICK-006576,BKG-003299,ITI-003299,P03770,2,2,TRIP-001643,RTE-18,TRM-18,TRM-19,294000,0,32000,326000,33,0,
TICK-006577,BKG-003300,ITI-003300,P00722,1,2,TRIP-000174,RTE-27,TRM-05,TRM-10,279000,0,31000,310000,31,0,
TICK-006578,BKG-003300,ITI-003300,P00722,2,2,TRIP-001634,RTE-28,TRM-10,TRM-15,228000,0,25000,253000,25,0,
TICK-006579,BKG-003301,ITI-003301,P01731,1,2,TRIP-000658,RTE-24,TRM-24,TRM-25,232000,0,26000,258000,26,0,
TICK-006580,BKG-003301,ITI-003301,P01731,2,2,TRIP-000659,RTE-25,TRM-25,TRM-01,214000,0,24000,238000,24,0,
TICK-006581,BKG-003302,ITI-003302,P02775,1,2,TRIP-001109,RTE-17,TRM-17,TRM-18,55000,0,6000,61000,6,0,
TICK-006582,BKG-003302,ITI-003302,P02775,2,2,TRIP-001110,RTE-18,TRM-18,TRM-19,196000,0,22000,218000,22,0,
TICK-006583,BKG-003303,ITI-003303,P00994,1,3,TRIP-001288,RTE-14,TRM-14,TRM-15,275000,0,30000,305000,30,30,
TICK-006584,BKG-003303,ITI-003303,P00994,2,3,TRIP-001878,RTE-15,TRM-15,TRM-16,168000,0,18000,186000,19,0,
TICK-006585,BKG-003303,ITI-003303,P00994,3,3,TRIP-002490,RTE-16,TRM-16,TRM-17,259000,0,28000,287000,29,0,
TICK-006586,BKG-003304,ITI-003304,P01135,1,1,TRIP-002132,RTE-22,TRM-22,TRM-23,222000,22000,22000,222000,22,0,EARLY10
TICK-006587,BKG-003305,ITI-003305,P03202,1,1,TRIP-002777,RTE-18,TRM-18,TRM-19,245000,0,27000,272000,27,0,
TICK-006588,BKG-003306,ITI-003306,P00878,1,2,TRIP-001928,RTE-23,TRM-23,TRM-24,251000,0,28000,279000,28,0,
TICK-006589,BKG-003306,ITI-003306,P00878,2,2,TRIP-002778,RTE-24,TRM-24,TRM-25,290000,0,32000,322000,32,0,
TICK-006590,BKG-003307,ITI-003307,P00666,1,2,TRIP-001311,RTE-22,TRM-22,TRM-23,178000,0,20000,198000,20,0,
TICK-006591,BKG-003307,ITI-003307,P00666,2,2,TRIP-000098,RTE-23,TRM-23,TRM-24,178000,0,20000,198000,20,0,
TICK-006592,BKG-003308,ITI-003308,P01451,1,2,TRIP-000680,RTE-21,TRM-21,TRM-22,234000,12000,24000,246000,25,0,APP5
TICK-006593,BKG-003308,ITI-003308,P01451,2,2,TRIP-000681,RTE-22,TRM-22,TRM-23,178000,9000,19000,188000,19,0,APP5
TICK-006594,BKG-003309,ITI-003309,P03254,1,1,TRIP-002779,RTE-16,TRM-16,TRM-17,216000,0,24000,240000,24,20,
TICK-006595,BKG-003310,ITI-003310,P03567,1,1,TRIP-000800,RTE-25,TRM-25,TRM-01,321000,0,35000,356000,36,0,
TICK-006596,BKG-003311,ITI-003311,P01728,1,2,TRIP-000366,RTE-17,TRM-17,TRM-18,82000,0,9000,91000,9,0,
TICK-006597,BKG-003311,ITI-003311,P01728,2,2,TRIP-000367,RTE-18,TRM-18,TRM-19,235000,0,26000,261000,26,0,
TICK-006598,BKG-003312,ITI-003312,P02210,1,2,TRIP-001442,RTE-10,TRM-10,TRM-11,374000,0,41000,415000,42,0,
TICK-006599,BKG-003312,ITI-003312,P02210,2,2,TRIP-001443,RTE-11,TRM-11,TRM-12,209000,0,23000,232000,23,0,
TICK-006600,BKG-003313,ITI-003313,P01154,1,2,TRIP-001907,RTE-03,TRM-03,TRM-04,70000,4000,7000,73000,7,0,APP5
TICK-006601,BKG-003313,ITI-003313,P01154,2,2,TRIP-002780,RTE-04,TRM-04,TRM-05,131000,7000,14000,138000,14,0,APP5
TICK-006602,BKG-003314,ITI-003314,P01033,1,1,TRIP-000290,RTE-11,TRM-11,TRM-12,209000,21000,21000,209000,21,0,EARLY10
TICK-006603,BKG-003315,ITI-003315,P01741,1,3,TRIP-002574,RTE-28,TRM-10,TRM-15,228000,0,25000,253000,25,20,
TICK-006604,BKG-003315,ITI-003315,P01741,2,3,TRIP-001607,RTE-15,TRM-15,TRM-16,134000,0,15000,149000,15,0,
TICK-006605,BKG-003315,ITI-003315,P01741,3,3,TRIP-001608,RTE-16,TRM-16,TRM-17,208000,0,23000,231000,23,0,
TICK-006606,BKG-003316,ITI-003316,P01605,1,3,TRIP-000951,RTE-17,TRM-17,TRM-18,55000,0,6000,61000,6,10,
TICK-006607,BKG-003316,ITI-003316,P01605,2,3,TRIP-001773,RTE-18,TRM-18,TRM-19,196000,0,22000,218000,22,0,
TICK-006608,BKG-003316,ITI-003316,P01605,3,3,TRIP-001774,RTE-19,TRM-19,TRM-20,94000,0,10000,104000,10,0,
TICK-006609,BKG-003317,ITI-003317,P02152,1,2,TRIP-000800,RTE-25,TRM-25,TRM-01,321000,0,35000,356000,36,30,
TICK-006610,BKG-003317,ITI-003317,P02152,2,2,TRIP-000181,RTE-26,TRM-01,TRM-05,111000,0,12000,123000,12,0,
TICK-006611,BKG-003318,ITI-003318,P02918,1,2,TRIP-001288,RTE-14,TRM-14,TRM-15,275000,0,30000,305000,30,0,
TICK-006612,BKG-003318,ITI-003318,P02918,2,2,TRIP-001492,RTE-29,TRM-15,TRM-20,334000,0,37000,371000,37,0,
TICK-006613,BKG-003319,ITI-003319,P00784,1,2,TRIP-000658,RTE-24,TRM-24,TRM-25,232000,0,26000,258000,26,0,
TICK-006614,BKG-003319,ITI-003319,P00784,2,2,TRIP-000659,RTE-25,TRM-25,TRM-01,214000,0,24000,238000,24,0,
TICK-006615,BKG-003320,ITI-003320,P02402,1,2,TRIP-000743,RTE-04,TRM-04,TRM-05,157000,0,17000,174000,17,0,
TICK-006616,BKG-003320,ITI-003320,P02402,2,2,TRIP-000744,RTE-27,TRM-05,TRM-10,279000,0,31000,310000,31,0,
TICK-006617,BKG-003321,ITI-003321,P00657,1,3,TRIP-000225,RTE-03,TRM-03,TRM-04,83000,0,9000,92000,9,0,
TICK-006618,BKG-003321,ITI-003321,P00657,2,3,TRIP-001397,RTE-04,TRM-04,TRM-05,157000,0,17000,174000,17,0,
TICK-006619,BKG-003321,ITI-003321,P00657,3,3,TRIP-000364,RTE-05,TRM-05,TRM-06,407000,0,45000,452000,45,0,
TICK-006620,BKG-003322,ITI-003322,P00472,1,2,TRIP-000261,RTE-11,TRM-11,TRM-12,209000,0,23000,232000,23,0,
