ticket_number,passenger_id,trip_id,travel_status,check_in_ts,boarding_ts,scheduled_connection_minutes,actual_connection_minutes,missed_connection_count
TICK-004715,P00487,TRIP-002381,COMPLETED,2025-09-08 05:10:00,2025-09-08 05:43:00,,,0
TICK-004716,P00487,TRIP-002211,COMPLETED,2025-09-08 17:03:00,2025-09-08 17:50:00,46,30,0
TICK-004717,P00487,TRIP-002382,COMPLETED,2025-09-09 04:36:00,2025-09-09 05:39:00,142,144,0
TICK-004718,P03862,TRIP-000080,COMPLETED,2025-04-22 10:56:00,2025-04-22 11:37:00,,,0
TICK-004719,P00342,TRIP-001488,COMPLETED,2025-05-08 05:14:00,2025-05-08 05:30:00,,,0
TICK-004720,P00342,TRIP-000236,COMPLETED,2025-05-08 16:59:00,2025-05-08 17:46:00,323,294,0
TICK-004721,P00342,TRIP-000237,COMPLETED,2025-05-09 04:33:00,2025-05-09 05:38:00,-2,46,0
TICK-004722,P02275,TRIP-001882,COMPLETED,2025-12-08 16:57:00,2025-12-08 17:43:00,,,0
TICK-004723,P02275,TRIP-000551,COMPLETED,2025-12-09 04:42:00,2025-12-09 05:49:00,251,233,0
TICK-004724,P00340,TRIP-001498,COMPLETED,2025-07-22 16:51:00,2025-07-22 17:37:00,,,0
TICK-004725,P00340,TRIP-002383,MISSED_CONNECTION,,,-3,-26,1
TICK-004726,P00340,TRIP-002384,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-004727,P02232,TRIP-002385,COMPLETED,2025-11-08 04:40:00,2025-11-08 05:30:00,,,0
TICK-004728,P02232,TRIP-000920,MISSED_CONNECTION,,,-25,-29,1
TICK-004729,P02033,TRIP-002368,COMPLETED,2025-04-22 11:15:00,2025-04-22 11:32:00,,,0
TICK-004730,P02033,TRIP-002369,COMPLETED,2025-04-22 23:11:00,2025-04-22 23:44:00,251,244,0
TICK-004731,P02033,TRIP-002386,COMPLETED,2025-04-23 11:08:00,2025-04-23 11:47:00,199,176,0
TICK-004732,P02847,TRIP-002387,COMPLETED,2025-12-08 11:15:00,2025-12-08 11:45:00,,,0
TICK-004733,P03085,TRIP-000986,COMPLETED,2025-07-22 04:54:00,2025-07-22 05:41:00,,,0
TICK-004734,P03085,TRIP-001463,COMPLETED,2025-07-22 11:01:00,2025-07-22 11:42:00,120,120,0
TICK-004735,P00831,TRIP-001409,COMPLETED,2025-09-22 10:39:00,2025-09-22 11:39:00,,,0
TICK-004736,P02743,TRIP-001364,COMPLETED,2025-07-08 04:33:00,2025-07-08 05:33:00,,,0
TICK-004737,P02743,TRIP-001365,MISSED_CONNECTION,,,-25,-34,1
TICK-004738,P00309,TRIP-000447,COMPLETED,2025-04-22 11:14:00,2025-04-22 11:32:00,,,0
TICK-004739,P00309,TRIP-000448,COMPLETED,2025-04-22 17:01:00,2025-04-22 17:35:00,178,156,0
TICK-004740,P00309,TRIP-001396,MISSED_CONNECTION,,,-3,-27,1
TICK-004741,P00456,TRIP-001116,COMPLETED,2025-06-22 10:47:00,2025-06-22 11:35:00,,,0
TICK-004742,P00167,TRIP-000359,COMPLETED,2025-06-08 11:12:00,2025-06-08 11:32:00,,,0
TICK-004743,P00167,TRIP-001376,COMPLETED,2025-06-08 22:39:00,2025-06-08 23:33:00,251,246,0
TICK-004744,P00167,TRIP-002388,COMPLETED,2025-06-09 10:59:00,2025-06-09 11:50:00,181,99,0
TICK-004745,P02161,TRIP-001228,COMPLETED,2025-06-22 16:30:00,2025-06-22 17:49:00,,,0
TICK-004746,P02161,TRIP-002389,COMPLETED,2025-06-23 04:56:00,2025-06-23 05:30:00,142,59,0
TICK-004747,P00087,TRIP-002390,COMPLETED,2025-04-08 05:24:00,2025-04-08 05:33:00,,,0
TICK-004748,P02265,TRIP-001759,COMPLETED,2025-12-22 04:46:00,2025-12-22 05:37:00,,,0
TICK-004749,P00540,TRIP-000066,COMPLETED,2025-06-08 04:34:00,2025-06-08 05:47:00,,,0
TICK-004750,P01101,TRIP-002391,COMPLETED,2025-01-22 11:06:00,2025-01-22 11:35:00,,,0
TICK-004751,P01101,TRIP-001501,COMPLETED,2025-01-22 17:25:00,2025-01-22 17:40:00,144,106,0
TICK-004752,P02242,TRIP-000713,COMPLETED,2025-06-08 11:07:00,2025-06-08 11:44:00,,,0
TICK-004753,P02242,TRIP-000038,COMPLETED,2025-06-08 17:18:00,2025-06-08 17:31:00,169,128,0
TICK-004754,P02242,TRIP-000039,MISSED_CONNECTION,,,-10,-10,1
TICK-004755,P01970,TRIP-000175,COMPLETED,2025-12-22 16:50:00,2025-12-22 17:50:00,,,0
TICK-004756,P01970,TRIP-000176,COMPLETED,2025-12-23 05:19:00,2025-12-23 05:31:00,268,246,0
TICK-004757,P01970,TRIP-001509,COMPLETED,2025-12-23 17:15:00,2025-12-23 17:49:00,46,46,0
TICK-004758,P02430,TRIP-000702,COMPLETED,2025-06-22 17:07:00,2025-06-22 17:46:00,,,0
TICK-004759,P00949,TRIP-001726,COMPLETED,2025-06-08 04:57:00,2025-06-08 05:31:00,,,0
TICK-004760,P00949,TRIP-001300,COMPLETED,2025-06-08 11:05:00,2025-06-08 11:41:00,120,107,0
TICK-004761,P00382,TRIP-001325,COMPLETED,2025-06-22 17:04:00,2025-06-22 17:34:00,,,0
TICK-004762,P00382,TRIP-002392,COMPLETED,2025-06-23 05:14:00,2025-06-23 05:35:00,138,175,0
TICK-004763,P00382,TRIP-002393,MISSED_CONNECTION,,,-5,-29,1
TICK-004764,P01547,TRIP-002394,COMPLETED,2025-02-22 04:33:00,2025-02-22 05:46:00,,,0
TICK-004765,P01547,TRIP-001231,COMPLETED,2025-02-22 10:42:00,2025-02-22 11:41:00,120,132,0
TICK-004766,P00798,TRIP-000047,COMPLETED,2025-07-08 11:15:00,2025-07-08 11:47:00,,,0
TICK-004767,P01747,TRIP-000450,COMPLETED,2025-06-08 16:30:00,2025-06-08 17:43:00,,,0
TICK-004768,P01747,TRIP-000603,COMPLETED,2025-06-09 04:42:00,2025-06-09 05:33:00,323,316,0
TICK-004769,P01747,TRIP-002395,MISSED_CONNECTION,,,-2,-29,1
TICK-004770,P02722,TRIP-000239,COMPLETED,2025-07-08 10:31:00,2025-07-08 11:40:00,,,0
TICK-004771,P02722,TRIP-000240,MISSED_CONNECTION,,,-5,-42,1
TICK-004772,P02722,TRIP-000780,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-004773,P03510,TRIP-002396,COMPLETED,2025-08-08 10:36:00,2025-08-08 11:49:00,,,0
TICK-004774,P03510,TRIP-002397,COMPLETED,2025-08-08 22:40:00,2025-08-08 23:32:00,268,260,0
TICK-004775,P03546,TRIP-000910,COMPLETED,2025-04-22 04:54:00,2025-04-22 05:48:00,,,0
TICK-004776,P03546,TRIP-000911,MISSED_CONNECTION,,,-2,-23,1
TICK-004777,P02891,TRIP-001900,COMPLETED,2025-05-22 11:14:00,2025-05-22 11:32:00,,,0
TICK-004778,P02891,TRIP-002398,COMPLETED,2025-05-22 22:41:00,2025-05-22 23:40:00,-2,30,0
TICK-004779,P02293,TRIP-000486,COMPLETED,2025-11-22 04:33:00,2025-11-22 05:38:00,,,0
TICK-004780,P02293,TRIP-000487,MISSED_CONNECTION,,,-10,-18,1
TICK-004781,P02293,TRIP-000488,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-004782,P01041,TRIP-001381,COMPLETED,2025-12-22 11:18:00,2025-12-22 11:42:00,,,0
TICK-004783,P01041,TRIP-002095,COMPLETED,2025-12-22 16:38:00,2025-12-22 17:31:00,178,138,0
TICK-004784,P00628,TRIP-002399,COMPLETED,2025-09-22 05:19:00,2025-09-22 05:48:00,,,0
TICK-004785,P00628,TRIP-002400,MISSED_CONNECTION,,,-23,-16,1
TICK-004786,P00628,TRIP-002401,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-004787,P02077,TRIP-002195,COMPLETED,2025-07-22 11:01:00,2025-07-22 11:38:00,,,0
TICK-004788,P02077,TRIP-002196,COMPLETED,2025-07-22 22:56:00,2025-07-22 23:33:00,199,194,0
TICK-004789,P00180,TRIP-002402,COMPLETED,2025-06-22 04:48:00,2025-06-22 05:42:00,,,0
TICK-004790,P00180,TRIP-000688,COMPLETED,2025-06-22 16:53:00,2025-06-22 17:35:00,251,263,0
TICK-004791,P02389,TRIP-000105,COMPLETED,2025-10-08 17:03:00,2025-10-08 17:31:00,,,0
TICK-004792,P02389,TRIP-002403,COMPLETED,2025-10-08 23:03:00,2025-10-08 23:50:00,93,54,0
TICK-004793,P03230,TRIP-002116,COMPLETED,2025-12-22 17:10:00,2025-12-22 17:49:00,,,0
TICK-004794,P02657,TRIP-001459,COMPLETED,2025-06-08 16:32:00,2025-06-08 17:38:00,,,0
TICK-004795,P02657,TRIP-000346,COMPLETED,2025-06-09 05:10:00,2025-06-09 05:42:00,46,31,0
TICK-004796,P01583,TRIP-002404,COMPLETED,2025-09-08 10:37:00,2025-09-08 11:35:00,,,0
TICK-004797,P01583,TRIP-001859,MISSED_CONNECTION,,,21,14,1
TICK-004798,P01583,TRIP-002405,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-004799,P00624,TRIP-001187,COMPLETED,2025-03-08 16:48:00,2025-03-08 17:32:00,,,0
TICK-004800,P00576,TRIP-001948,COMPLETED,2025-05-22 05:04:00,2025-05-22 05:41:00,,,0
TICK-004801,P00576,TRIP-000270,MISSED_CONNECTION,,,-3,10,1
TICK-004802,P02567,TRIP-001133,COMPLETED,2025-12-22 11:23:00,2025-12-22 11:50:00,,,0
TICK-004803,P02567,TRIP-001134,COMPLETED,2025-12-22 22:50:00,2025-12-22 23:35:00,323,301,0
TICK-004804,P02634,TRIP-000234,COMPLETED,2025-02-08 16:50:00,2025-02-08 17:30:00,,,0
TICK-004805,P02634,TRIP-000235,COMPLETED,2025-02-08 23:11:00,2025-02-08 23:31:00,169,153,0
TICK-004806,P00359,TRIP-002406,COMPLETED,2025-08-08 11:19:00,2025-08-08 11:44:00,,,0
TICK-004807,P00359,TRIP-002407,COMPLETED,2025-08-08 23:20:00,2025-08-08 23:46:00,180,192,0
TICK-004808,P00359,TRIP-001316,COMPLETED,2025-08-09 05:23:00,2025-08-09 05:40:00,169,188,0
TICK-004809,P03542,TRIP-000776,COMPLETED,2025-07-08 04:58:00,2025-07-08 05:49:00,,,0
TICK-004810,P03542,TRIP-000576,MISSED_CONNECTION,,,-10,4,1
TICK-004811,P02533,TRIP-001846,COMPLETED,2025-05-08 04:30:00,2025-05-08 05:34:00,,,0
TICK-004812,P02533,TRIP-000559,COMPLETED,2025-05-08 10:36:00,2025-05-08 11:48:00,93,117,0
TICK-004813,P02533,TRIP-002408,COMPLETED,2025-05-08 23:22:00,2025-05-08 23:37:00,323,300,0
TICK-004814,P01047,TRIP-001448,COMPLETED,2025-06-22 04:55:00,2025-06-22 05:39:00,,,0
TICK-004815,P01047,TRIP-000727,COMPLETED,2025-06-22 10:34:00,2025-06-22 11:33:00,-3,33,0
TICK-004816,P01790,TRIP-002409,COMPLETED,2025-05-22 16:58:00,2025-05-22 17:47:00,,,0
TICK-004817,P02423,TRIP-002410,COMPLETED,2025-01-22 16:31:00,2025-01-22 17:39:00,,,0
TICK-004818,P02423,TRIP-002411,MISSED_CONNECTION,,,-23,-37,1
TICK-004819,P02423,TRIP-002412,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-004820,P00996,TRIP-001454,COMPLETED,2025-05-08 10:56:00,2025-05-08 11:39:00,,,0
TICK-004821,P00996,TRIP-001455,COMPLETED,2025-05-08 16:48:00,2025-05-08 17:37:00,194,222,0
TICK-004822,P00996,TRIP-001632,COMPLETED,2025-05-08 23:11:00,2025-05-08 23:45:00,178,136,0
TICK-004823,P03808,TRIP-001209,COMPLETED,2025-12-22 05:25:00,2025-12-22 05:35:00,,,0
TICK-004824,P03808,TRIP-001210,COMPLETED,2025-12-22 16:50:00,2025-12-22 17:44:00,21,21,0
TICK-004825,P03998,TRIP-001693,COMPLETED,2025-02-08 11:10:00,2025-02-08 11:38:00,,,0
TICK-004826,P03998,TRIP-001694,COMPLETED,2025-02-08 22:30:00,2025-02-08 23:50:00,229,227,0
TICK-004827,P03998,TRIP-002413,MISSED_CONNECTION,,,-10,3,1
TICK-004828,P00733,TRIP-001242,COMPLETED,2025-06-08 16:53:00,2025-06-08 17:47:00,,,0
TICK-004829,P01863,TRIP-000451,COMPLETED,2025-07-22 16:49:00,2025-07-22 17:33:00,,,0
TICK-004830,P01863,TRIP-000452,COMPLETED,2025-07-23 04:45:00,2025-07-23 05:43:00,229,220,0
TICK-004831,P03923,TRIP-000567,COMPLETED,2025-07-08 16:41:00,2025-07-08 17:45:00,,,0
TICK-004832,P03923,TRIP-001550,COMPLETED,2025-07-08 22:32:00,2025-07-08 23:46:00,169,152,0
TICK-004833,P03923,TRIP-001551,MISSED_CONNECTION,,,-10,-13,1
TICK-004834,P03071,TRIP-001105,COMPLETED,2025-07-22 04:40:00,2025-07-22 05:37:00,,,0
TICK-004835,P01025,TRIP-000315,COMPLETED,2025-12-22 17:06:00,2025-12-22 17:38:00,,,0
TICK-004836,P01025,TRIP-000316,COMPLETED,2025-12-23 05:01:00,2025-12-23 05:38:00,251,268,0
TICK-004837,P03709,TRIP-002414,COMPLETED,2025-01-08 04:48:00,2025-01-08 05:48:00,,,0
TICK-004838,P03709,TRIP-002415,COMPLETED,2025-01-08 16:37:00,2025-01-08 17:32:00,199,259,0
TICK-004839,P03709,TRIP-002416,COMPLETED,2025-01-09 04:44:00,2025-01-09 05:46:00,226,130,0
TICK-004840,P01945,TRIP-001644,COMPLETED,2025-03-22 05:20:00,2025-03-22 05:30:00,,,0
TICK-004841,P01945,TRIP-001299,COMPLETED,2025-03-22 10:41:00,2025-03-22 11:37:00,93,68,0
TICK-004842,P00428,TRIP-002417,COMPLETED,2025-08-22 11:21:00,2025-08-22 11:45:00,,,0
TICK-004843,P00428,TRIP-001748,MISSED_CONNECTION,,,-2,-1,1
TICK-004844,P01113,TRIP-001606,COMPLETED,2025-12-22 10:45:00,2025-12-22 11:43:00,,,0
TICK-004845,P01113,TRIP-001301,COMPLETED,2025-12-22 17:10:00,2025-12-22 17:43:00,-10,21,0
TICK-004846,P03364,TRIP-001043,COMPLETED,2025-08-22 16:43:00,2025-08-22 17:30:00,,,0
TICK-004847,P03364,TRIP-001044,MISSED_CONNECTION,,,-5,-30,1
TICK-004848,P00722,TRIP-001399,COMPLETED,2025-12-08 05:13:00,2025-12-08 05:46:00,,,0
TICK-004849,P00204,TRIP-001298,COMPLETED,2025-12-22 04:57:00,2025-12-22 05:47:00,,,0
TICK-004850,P00204,TRIP-002376,COMPLETED,2025-12-22 17:11:00,2025-12-22 17:42:00,251,237,0
TICK-004851,P01074,TRIP-000870,COMPLETED,2025-06-08 16:51:00,2025-06-08 17:38:00,,,0
TICK-004852,P02494,TRIP-001689,COMPLETED,2025-11-08 11:12:00,2025-11-08 11:45:00,,,0
TICK-004853,P02494,TRIP-001690,COMPLETED,2025-11-08 23:10:00,2025-11-08 23:48:00,46,20,0
TICK-004854,P02494,TRIP-002418,COMPLETED,2025-11-09 10:54:00,2025-11-09 11:34:00,142,129,0
TICK-004855,P03788,TRIP-001440,COMPLETED,2025-05-22 16:59:00,2025-05-22 17:40:00,,,0
TICK-004856,P03788,TRIP-001277,COMPLETED,2025-05-23 04:37:00,2025-05-23 05:42:00,-25,21,0
TICK-004857,P03788,TRIP-002419,COMPLETED,2025-05-23 16:30:00,2025-05-23 17:31:00,142,111,0
TICK-004858,P02873,TRIP-000766,COMPLETED,2025-11-22 04:47:00,2025-11-22 05:37:00,,,0
TICK-004859,P02873,TRIP-002420,COMPLETED,2025-11-22 16:38:00,2025-11-22 17:31:00,251,253,0
TICK-004860,P02873,TRIP-002421,COMPLETED,2025-11-23 04:52:00,2025-11-23 05:46:00,199,199,0
TICK-004861,P00597,TRIP-000154,COMPLETED,2025-10-22 05:13:00,2025-10-22 05:40:00,,,0
TICK-004862,P01492,TRIP-000661,COMPLETED,2025-07-22 16:49:00,2025-07-22 17:38:00,,,0
TICK-004863,P01492,TRIP-000662,COMPLETED,2025-07-22 22:31:00,2025-07-22 23:44:00,144,117,0
TICK-004864,P02473,TRIP-001808,COMPLETED,2025-12-08 11:00:00,2025-12-08 11:38:00,,,0
TICK-004865,P02473,TRIP-001809,COMPLETED,2025-12-08 22:39:00,2025-12-08 23:48:00,142,124,0
TICK-004866,P01844,TRIP-000809,COMPLETED,2025-12-22 04:30:00,2025-12-22 05:47:00,,,0
TICK-004867,P01844,TRIP-000466,MISSED_CONNECTION,,,-3,-13,1
TICK-004868,P01241,TRIP-000758,COMPLETED,2025-12-22 10:33:00,2025-12-22 11:49:00,,,0
TICK-004869,P01241,TRIP-000759,MISSED_CONNECTION,,,-25,-25,1
TICK-004870,P01241,TRIP-002422,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-004871,P00975,TRIP-002249,COMPLETED,2025-03-08 11:08:00,2025-03-08 11:48:00,,,0
TICK-004872,P00975,TRIP-002250,COMPLETED,2025-03-08 16:30:00,2025-03-08 17:49:00,194,146,0
TICK-004873,P00975,TRIP-002251,COMPLETED,2025-03-08 22:57:00,2025-03-08 23:31:00,178,172,0
TICK-004874,P03538,TRIP-001677,COMPLETED,2025-06-22 10:58:00,2025-06-22 11:48:00,,,0
TICK-004875,P01262,TRIP-001578,COMPLETED,2025-12-08 04:44:00,2025-12-08 05:48:00,,,0
TICK-004876,P01262,TRIP-000971,COMPLETED,2025-12-08 16:42:00,2025-12-08 17:46:00,266,266,0
TICK-004877,P01993,TRIP-002064,COMPLETED,2025-06-22 11:20:00,2025-06-22 11:49:00,,,0
TICK-004878,P01993,TRIP-002105,COMPLETED,2025-06-22 22:50:00,2025-06-22 23:34:00,229,244,0
TICK-004879,P01993,TRIP-002133,MISSED_CONNECTION,,,-10,-45,1
TICK-004880,P01285,TRIP-000672,COMPLETED,2025-11-08 05:08:00,2025-11-08 05:31:00,,,0
TICK-004881,P01285,TRIP-000673,COMPLETED,2025-11-08 16:53:00,2025-11-08 17:45:00,266,300,0
TICK-004882,P02033,TRIP-001755,COMPLETED,2025-10-22 11:02:00,2025-10-22 11:30:00,,,0
TICK-004883,P02033,TRIP-001756,COMPLETED,2025-10-22 16:35:00,2025-10-22 17:31:00,201,205,0
TICK-004884,P03814,TRIP-000579,COMPLETED,2025-04-22 17:06:00,2025-04-22 17:40:00,,,0
TICK-004885,P03814,TRIP-000580,MISSED_CONNECTION,,,-10,-254,1
TICK-004886,P03814,TRIP-002423,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-004887,P00569,TRIP-000401,COMPLETED,2025-09-08 10:54:00,2025-09-08 11:31:00,,,0
TICK-004888,P03126,TRIP-001657,COMPLETED,2025-04-22 05:11:00,2025-04-22 05:30:00,,,0
TICK-004889,P00912,TRIP-002424,COMPLETED,2025-12-08 11:01:00,2025-12-08 11:46:00,,,0
TICK-004890,P00912,TRIP-002425,COMPLETED,2025-12-08 23:21:00,2025-12-08 23:37:00,256,230,0
TICK-004891,P00912,TRIP-002426,COMPLETED,2025-12-09 05:03:00,2025-12-09 05:33:00,194,157,0
TICK-004892,P00724,TRIP-002427,COMPLETED,2025-11-22 05:05:00,2025-11-22 05:46:00,,,0
TICK-004893,P00724,TRIP-000831,MISSED_CONNECTION,,,-3,-13,1
TICK-004894,P03906,TRIP-002428,COMPLETED,2025-10-08 05:16:00,2025-10-08 05:30:00,,,0
TICK-004895,P01742,TRIP-001301,COMPLETED,2025-12-22 16:52:00,2025-12-22 17:50:00,,,0
TICK-004896,P01742,TRIP-001302,COMPLETED,2025-12-23 04:46:00,2025-12-23 05:34:00,229,202,0
TICK-004897,P02989,TRIP-000321,COMPLETED,2025-12-22 10:30:00,2025-12-22 11:38:00,,,0
TICK-004898,P02989,TRIP-002429,COMPLETED,2025-12-22 23:12:00,2025-12-22 23:38:00,251,238,0
TICK-004899,P02989,TRIP-002430,COMPLETED,2025-12-23 11:03:00,2025-12-23 11:38:00,181,178,0
TICK-004900,P01409,TRIP-001698,COMPLETED,2025-04-22 10:54:00,2025-04-22 11:44:00,,,0
TICK-004901,P01409,TRIP-002431,MISSED_CONNECTION,,,-2,-16,1
TICK-004902,P03881,TRIP-001059,COMPLETED,2025-03-08 10:56:00,2025-03-08 11:47:00,,,0
TICK-004903,P03881,TRIP-001060,COMPLETED,2025-03-08 17:10:00,2025-03-08 17:33:00,144,144,0
TICK-004904,P03615,TRIP-000264,COMPLETED,2025-01-08 04:44:00,2025-01-08 05:43:00,,,0
TICK-004905,P03615,TRIP-000265,COMPLETED,2025-01-08 16:33:00,2025-01-08 17:50:00,268,259,0
TICK-004906,P03673,TRIP-002432,COMPLETED,2025-09-08 04:50:00,2025-09-08 05:44:00,,,0
TICK-004907,P03673,TRIP-002433,COMPLETED,2025-09-08 17:23:00,2025-09-08 17:42:00,180,195,0
TICK-004908,P01728,TRIP-000673,COMPLETED,2025-11-08 16:50:00,2025-11-08 17:37:00,,,0
TICK-004909,P01728,TRIP-000674,COMPLETED,2025-11-08 22:47:00,2025-11-08 23:34:00,201,182,0
TICK-004910,P01728,TRIP-002434,COMPLETED,2025-11-09 10:59:00,2025-11-09 11:31:00,180,240,0
TICK-004911,P01412,TRIP-001469,COMPLETED,2025-07-08 17:08:00,2025-07-08 17:39:00,,,0
TICK-004912,P03842,TRIP-000419,COMPLETED,2025-03-08 04:47:00,2025-03-08 05:36:00,,,0
TICK-004913,P03842,TRIP-000420,COMPLETED,2025-03-08 11:21:00,2025-03-08 11:30:00,93,59,0
TICK-004914,P03842,TRIP-002435,COMPLETED,2025-03-08 22:59:00,2025-03-08 23:45:00,323,330,0
TICK-004915,P03970,TRIP-001328,COMPLETED,2025-02-22 11:11:00,2025-02-22 11:32:00,,,0
TICK-004916,P03970,TRIP-001511,COMPLETED,2025-02-22 22:56:00,2025-02-22 23:33:00,268,271,0
TICK-004917,P01374,TRIP-000033,COMPLETED,2025-06-22 10:52:00,2025-06-22 11:34:00,,,0
TICK-004918,P01374,TRIP-000034,COMPLETED,2025-06-22 22:45:00,2025-06-22 23:38:00,138,139,0
TICK-004919,P03306,TRIP-001387,COMPLETED,2025-12-08 04:41:00,2025-12-08 05:40:00,,,0
TICK-004920,P03306,TRIP-001388,COMPLETED,2025-12-08 11:22:00,2025-12-08 11:47:00,201,144,0
TICK-004921,P03306,TRIP-002436,COMPLETED,2025-12-08 22:44:00,2025-12-08 23:43:00,180,180,0
TICK-004922,P03825,TRIP-002437,COMPLETED,2025-10-22 10:52:00,2025-10-22 11:49:00,,,0
TICK-004923,P03825,TRIP-002438,MISSED_CONNECTION,,,-25,-162,1
TICK-004924,P01756,TRIP-002439,COMPLETED,2025-04-08 04:47:00,2025-04-08 05:43:00,,,0
TICK-004925,P01756,TRIP-002440,COMPLETED,2025-04-08 17:07:00,2025-04-08 17:44:00,142,172,0
TICK-004926,P01814,TRIP-002441,COMPLETED,2025-09-22 05:13:00,2025-09-22 05:50:00,,,0
TICK-004927,P01814,TRIP-002442,COMPLETED,2025-09-22 11:11:00,2025-09-22 11:34:00,178,187,0
TICK-004928,P01814,TRIP-002443,MISSED_CONNECTION,,,-3,-11,1
TICK-004929,P03916,TRIP-001174,COMPLETED,2025-08-22 11:01:00,2025-08-22 11:40:00,,,0
TICK-004930,P03916,TRIP-001175,COMPLETED,2025-08-22 23:00:00,2025-08-22 23:37:00,180,164,0
TICK-004931,P03916,TRIP-002444,COMPLETED,2025-08-23 04:33:00,2025-08-23 05:39:00,169,175,0
TICK-004932,P01671,TRIP-000280,COMPLETED,2025-01-08 16:35:00,2025-01-08 17:32:00,,,0
TICK-004933,P00724,TRIP-002445,COMPLETED,2025-01-22 17:09:00,2025-01-22 17:36:00,,,0
TICK-004934,P00724,TRIP-002446,COMPLETED,2025-01-23 04:32:00,2025-01-23 05:45:00,229,267,0
TICK-004935,P02109,TRIP-001179,COMPLETED,2025-04-08 05:08:00,2025-04-08 05:34:00,,,0
TICK-004936,P02753,TRIP-001284,COMPLETED,2025-04-22 05:13:00,2025-04-22 05:37:00,,,0
TICK-004937,P02753,TRIP-000323,MISSED_CONNECTION,,,-10,-40,1
TICK-004938,P00382,TRIP-000014,COMPLETED,2025-04-08 11:25:00,2025-04-08 11:36:00,,,0
TICK-004939,P00382,TRIP-000015,COMPLETED,2025-04-08 23:21:00,2025-04-08 23:36:00,266,269,0
TICK-004940,P00382,TRIP-002447,COMPLETED,2025-04-09 05:00:00,2025-04-09 05:43:00,201,173,0
TICK-004941,P02017,TRIP-000958,COMPLETED,2025-04-22 05:22:00,2025-04-22 05:38:00,,,0
TICK-004942,P02017,TRIP-001063,COMPLETED,2025-04-22 11:14:00,2025-04-22 11:43:00,169,169,0
TICK-004943,P02017,TRIP-001064,MISSED_CONNECTION,,,-10,-10,1
TICK-004944,P01508,TRIP-002057,COMPLETED,2025-12-08 04:33:00,2025-12-08 05:31:00,,,0
TICK-004945,P01508,TRIP-001872,COMPLETED,2025-12-08 11:14:00,2025-12-08 11:32:00,194,179,0
TICK-004946,P01149,TRIP-000410,COMPLETED,2025-06-08 17:00:00,2025-06-08 17:48:00,,,0
TICK-004947,P01149,TRIP-000411,COMPLETED,2025-06-09 04:46:00,2025-06-09 05:49:00,142,161,0
TICK-004948,P01045,TRIP-002448,COMPLETED,2025-03-22 16:36:00,2025-03-22 17:40:00,,,0
TICK-004949,P01382,TRIP-002449,COMPLETED,2025-02-22 16:55:00,2025-02-22 17:47:00,,,0
TICK-004950,P01382,TRIP-002450,COMPLETED,2025-02-22 22:37:00,2025-02-22 23:50:00,49,51,0
TICK-004951,P01382,TRIP-002451,COMPLETED,2025-02-23 10:30:00,2025-02-23 11:39:00,266,275,0
TICK-004952,P00942,TRIP-002452,COMPLETED,2025-09-08 04:32:00,2025-09-08 05:47:00,,,0
TICK-004953,P00942,TRIP-002453,COMPLETED,2025-09-08 16:46:00,2025-09-08 17:43:00,323,344,0
TICK-004954,P00942,TRIP-000407,MISSED_CONNECTION,,,-2,-19,1
TICK-004955,P03243,TRIP-001900,COMPLETED,2025-05-22 11:12:00,2025-05-22 11:47:00,,,0
TICK-004956,P03243,TRIP-002328,MISSED_CONNECTION,,,-2,-13,1
TICK-004957,P03243,TRIP-002454,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-004958,P01759,TRIP-001305,COMPLETED,2025-10-22 04:40:00,2025-10-22 05:50:00,,,0
TICK-004959,P01759,TRIP-001306,COMPLETED,2025-10-22 17:17:00,2025-10-22 17:48:00,229,260,0
TICK-004960,P02956,TRIP-002420,COMPLETED,2025-11-22 16:56:00,2025-11-22 17:46:00,,,0
TICK-004961,P00174,TRIP-000572,COMPLETED,2025-06-22 05:17:00,2025-06-22 05:47:00,,,0
TICK-004962,P00174,TRIP-000573,COMPLETED,2025-06-22 10:37:00,2025-06-22 11:49:00,169,162,0
TICK-004963,P03503,TRIP-000668,COMPLETED,2025-12-22 04:47:00,2025-12-22 05:36:00,,,0
TICK-004964,P03503,TRIP-000321,MISSED_CONNECTION,,,-5,-19,1
TICK-004965,P02288,TRIP-000532,COMPLETED,2025-12-22 10:46:00,2025-12-22 11:45:00,,,0
TICK-004966,P01500,TRIP-001468,COMPLETED,2025-07-22 17:09:00,2025-07-22 17:40:00,,,0
TICK-004967,P01500,TRIP-002455,COMPLETED,2025-07-23 04:56:00,2025-07-23 05:48:00,323,323,0
TICK-004968,P01511,TRIP-001785,COMPLETED,2025-08-08 17:24:00,2025-08-08 17:35:00,,,0
TICK-004969,P01511,TRIP-001786,COMPLETED,2025-08-09 05:11:00,2025-08-09 05:31:00,266,222,0
