itinerary_leg_sk,passenger_sk,route_sk,bus_fleet_sk,origin_terminal_sk,destination_terminal_sk,disruption_reason_sk,booking_date_sk,booking_time_sk,scheduled_departure_date_sk,scheduled_departure_time_sk,actual_departure_date_sk,actual_departure_time_sk,scheduled_arrival_date_sk,scheduled_arrival_time_sk,actual_arrival_date_sk,actual_arrival_time_sk,rebooking_date_sk,rebooking_time_sk,claim_resolution_date_sk,claim_resolution_time_sk,booking_id,ticket_number,itinerary_id,trip_id,leg_sequence,total_legs,claim_id,travel_status,claim_status,departure_delay_minutes,arrival_delay_minutes,scheduled_connection_minutes,actual_connection_minutes,missed_connection_count,rebooking_cost,refund_amount,compensation_amount
6169,316,19,17,23,25,0,20250127,1447,20250222,1200,20250222,1218,20250222,1511,20250222,1511,,,,,BKG-003096,TICK-006175,ITI-003096,TRIP-002492,1,1,,COMPLETED,,18,0,,,0,0,0,0
6170,1072,11,88,14,15,0,20250330,1637,20250422,600,20250422,600,20250422,1414,20250422,1414,,,,,BKG-003097,TICK-006176,ITI-003097,TRIP-002706,1,2,,COMPLETED,,0,0,,,0,0,0,0
6171,1072,12,36,15,16,0,20250330,1637,20250422,1800,20250422,1827,20250422,2227,20250422,2249,,,,,BKG-003097,TICK-006177,ITI-003097,TRIP-001901,2,2,,COMPLETED,,27,22,226,253,0,0,0,0
6172,4367,16,87,19,20,0,20250528,1354,20250622,1200,20250622,1213,20250622,1934,20250622,1934,,,,,BKG-003098,TICK-006178,ITI-003098,TRIP-001391,1,1,,COMPLETED,,13,0,,,0,0,0,0
6173,3675,18,78,21,24,2,20250604,1806,20250608,1800,20250608,1824,20250609,300,20250609,549,,,,,BKG-003099,TICK-006179,ITI-003099,TRIP-000746,1,3,,COMPLETED,,24,169,,,0,0,0,0
6174,3675,19,84,24,25,0,20250604,1806,20250609,600,20250609,600,20250609,911,20250609,911,20250609,1249,20250610,849,BKG-003099,TICK-006180,ITI-003099,TRIP-000747,2,3,CLM-000693,MISSED_CONNECTION,Rejected,0,0,180,11,1,53000,80000,75000
6175,3675,30,23,25,30,0,20250604,1806,20250609,1200,20250609,1210,20250610,25,20250610,25,,,,,BKG-003099,TICK-006181,ITI-003099,TRIP-002636,3,3,,CANCELLED_AFTER_DISRUPTION,,10,0,,,0,0,0,0
6176,1339,17,82,20,21,0,20250623,1133,20250722,600,20250722,637,20250722,839,20250722,940,,,,,BKG-003100,TICK-006182,ITI-003100,TRIP-001930,1,2,,COMPLETED,,37,61,,,0,0,0,0
6177,1339,18,15,21,24,0,20250623,1133,20250722,1200,20250722,1232,20250722,2100,20250722,2125,,,,,BKG-003100,TICK-006183,ITI-003100,TRIP-001865,2,2,,COMPLETED,,32,25,201,172,0,0,0,0
6178,1014,3,38,4,6,0,20250519,1054,20250608,600,20250608,606,20250608,902,20250608,902,,,,,BKG-003101,TICK-006184,ITI-003101,TRIP-000581,1,3,,COMPLETED,,6,0,,,0,0,0,0
6179,1014,4,28,6,7,0,20250519,1054,20250608,1200,20250608,1212,20250608,1803,20250608,1803,,,,,BKG-003101,TICK-006185,ITI-003101,TRIP-000582,2,3,,COMPLETED,,12,0,178,190,0,0,0,0
6180,1014,5,32,7,9,0,20250519,1054,20250608,1800,20250608,1843,20250609,623,20250609,655,,,,,BKG-003101,TICK-006186,ITI-003101,TRIP-000084,3,3,,COMPLETED,,43,32,-3,40,0,0,0,0
6181,412,15,10,18,19,0,20250510,1236,20250608,600,20250608,638,20250608,1111,20250608,1158,,,,,BKG-003102,TICK-006187,ITI-003102,TRIP-002707,1,2,,COMPLETED,,38,47,,,0,0,0,0
6182,412,16,32,19,20,0,20250510,1236,20250608,1200,20250608,1200,20250608,1934,20250608,1934,20250609,58,20250612,2358,BKG-003102,TICK-006188,ITI-003102,TRIP-000126,2,2,CLM-000694,MISSED_CONNECTION,Rejected,0,0,49,2,1,91000,136000,75000
6183,834,13,18,16,17,0,20250626,1204,20250722,1200,20250722,1230,20250722,1837,20250722,1905,,,,,BKG-003103,TICK-006189,ITI-003103,TRIP-000917,1,2,,COMPLETED,,30,28,,,0,0,0,0
6184,834,14,42,17,18,0,20250626,1204,20250723,0,20250723,13,20250723,1202,20250723,1231,,,,,BKG-003103,TICK-006190,ITI-003103,TRIP-001423,2,2,,COMPLETED,,13,29,323,308,0,0,0,0
6185,3593,18,87,21,24,0,20250601,1835,20250622,600,20250622,643,20250622,1500,20250622,1621,,,,,BKG-003104,TICK-006191,ITI-003104,TRIP-000599,1,1,,COMPLETED,,43,81,,,0,0,0,0
6186,2511,22,54,27,28,0,20251108,1827,20251122,1200,20251122,1225,20251122,1810,20251122,1837,,,,,BKG-003105,TICK-006192,ITI-003105,TRIP-002375,1,3,,COMPLETED,,25,27,,,0,0,0,0
6187,2511,23,7,28,29,0,20251108,1827,20251122,1800,20251122,1800,20251123,132,20251123,137,20251123,837,20251127,137,BKG-003105,TICK-006193,ITI-003105,TRIP-001373,2,3,CLM-000695,MISSED_CONNECTION,Approved,0,5,-10,-37,1,65000,103000,50000
6188,2511,24,68,29,30,0,20251108,1827,20251123,600,20251123,618,20251123,1714,20251123,1739,,,,,BKG-003105,TICK-006194,ITI-003105,TRIP-001374,3,3,,CANCELLED_AFTER_DISRUPTION,,18,25,,,0,0,0,0
6189,3931,17,18,20,21,0,20250515,2042,20250608,600,20250608,600,20250608,839,20250608,859,,,,,BKG-003106,TICK-006195,ITI-003106,TRIP-001207,1,3,,COMPLETED,,0,20,,,0,0,0,0
6190,3931,18,52,21,24,0,20250515,2042,20250608,1200,20250608,1208,20250608,2100,20250608,2106,,,,,BKG-003106,TICK-006196,ITI-003106,TRIP-000012,2,3,,COMPLETED,,8,6,201,189,0,0,0,0
6191,3931,19,1,24,25,0,20250515,2042,20250609,0,20250609,46,20250609,311,20250609,410,,,,,BKG-003106,TICK-006197,ITI-003106,TRIP-000013,3,3,,COMPLETED,,46,59,180,220,0,0,0,0
6192,4697,16,67,19,20,0,20250525,907,20250608,600,20250608,627,20250608,1334,20250608,1334,,,,,BKG-003107,TICK-006198,ITI-003107,TRIP-000408,1,2,,COMPLETED,,27,0,,,0,0,0,0
6193,4697,17,26,20,21,0,20250525,907,20250608,1800,20250608,1800,20250608,2039,20250608,2054,,,,,BKG-003107,TICK-006199,ITI-003107,TRIP-001303,2,2,,COMPLETED,,0,15,266,266,0,0,0,0
6194,613,16,80,19,20,0,20250520,1803,20250608,1800,20250608,1805,20250609,134,20250609,156,,,,,BKG-003108,TICK-006200,ITI-003108,TRIP-001242,1,2,,COMPLETED,,5,22,,,0,0,0,0
6195,613,17,82,20,21,0,20250520,1803,20250609,600,20250609,611,20250609,839,20250609,853,,,,,BKG-003108,TICK-006201,ITI-003108,TRIP-001243,2,2,,COMPLETED,,11,14,266,255,0,0,0,0
6196,444,4,35,6,8,0,20251005,1920,20251022,1800,20251022,1812,20251023,3,20251023,7,,,,,BKG-003109,TICK-006202,ITI-003109,TRIP-002527,1,3,,COMPLETED,,12,4,,,0,0,0,0
6197,444,5,11,8,9,0,20251005,1920,20251023,0,20251023,0,20251023,1223,20251023,1243,20251023,907,20251027,307,BKG-003109,TICK-006203,ITI-003109,TRIP-002708,2,3,CLM-000696,MISSED_CONNECTION,Approved,0,20,-3,-7,1,160000,254000,50000
6198,444,6,14,9,10,0,20251005,1920,20251023,1200,20251023,1226,20251023,1536,20251023,1614,,,,,BKG-003109,TICK-006204,ITI-003109,TRIP-002709,3,3,,CANCELLED_AFTER_DISRUPTION,,26,38,,,0,0,0,0
6199,4738,4,17,6,8,0,20250907,2001,20250908,1200,20250908,1200,20250908,1803,20250908,1810,,,,,BKG-003110,TICK-006205,ITI-003110,TRIP-002470,1,2,,COMPLETED,,0,7,,,0,0,0,0
6200,4738,27,53,8,13,0,20250907,2001,20250908,1800,20250908,1842,20250909,539,20250909,640,,,,,BKG-003110,TICK-006206,ITI-003110,TRIP-002710,2,2,,COMPLETED,,42,61,-3,32,0,0,0,0
6201,434,7,28,10,11,0,20251126,1328,20251222,600,20251222,642,20251222,1542,20251222,1616,,,,,BKG-003111,TICK-006207,ITI-003111,TRIP-000719,1,1,,COMPLETED,,42,34,,,0,0,0,0
6202,1670,4,32,6,7,0,20250502,2004,20250508,1800,20250508,1834,20250509,3,20250509,59,,,,,BKG-003112,TICK-006208,ITI-003112,TRIP-001663,1,2,,COMPLETED,,34,56,,,0,0,0,0
6203,1670,5,49,7,9,0,20250502,2004,20250509,0,20250509,6,20250509,1223,20250509,1231,20250509,759,20250514,159,BKG-003112,TICK-006209,ITI-003112,TRIP-002711,2,2,CLM-000697,MISSED_CONNECTION,Rejected,6,8,-3,-53,1,119000,188000,100000
6204,3284,15,86,18,19,0,20250526,1914,20250622,600,20250622,622,20250622,1111,20250622,1135,,,,,BKG-003113,TICK-006210,ITI-003113,TRIP-002712,1,2,,COMPLETED,,22,24,,,0,0,0,0
6205,3284,16,87,19,20,0,20250526,1914,20250622,1200,20250622,1213,20250622,1934,20250622,1934,,,,,BKG-003113,TICK-006211,ITI-003113,TRIP-001391,2,2,,COMPLETED,,13,0,49,38,0,0,0,0
6206,4126,6,75,9,10,0,20250626,851,20250708,1200,20250708,1207,20250708,1536,20250708,1536,,,,,BKG-003114,TICK-006212,ITI-003114,TRIP-001262,1,2,,COMPLETED,,7,0,,,0,0,0,0
6207,4126,7,40,10,11,0,20250626,851,20250708,1800,20250708,1815,20250709,342,20250709,414,,,,,BKG-003114,TICK-006213,ITI-003114,TRIP-001162,2,2,,COMPLETED,,15,32,144,159,0,0,0,0
6208,3231,24,57,29,30,0,20241217,850,20250108,600,20250108,602,20250108,1714,20250108,1714,,,,,BKG-003115,TICK-006214,ITI-003115,TRIP-000785,1,1,,COMPLETED,,2,0,,,0,0,0,0
6209,1774,3,85,5,6,0,20250828,1009,20250908,600,20250908,625,20250908,902,20250908,939,,,,,BKG-003116,TICK-006215,ITI-003116,TRIP-002469,1,3,,COMPLETED,,25,37,,,0,0,0,0
6210,1774,4,17,6,8,0,20250828,1009,20250908,1200,20250908,1200,20250908,1803,20250908,1810,,,,,BKG-003116,TICK-006216,ITI-003116,TRIP-002470,2,3,,COMPLETED,,0,7,178,141,0,0,0,0
6211,1774,27,53,8,13,0,20250828,1009,20250908,1800,20250908,1842,20250909,539,20250909,640,,,,,BKG-003116,TICK-006217,ITI-003116,TRIP-002710,3,3,,COMPLETED,,42,61,-3,32,0,0,0,0
6212,4502,3,54,5,6,0,20251110,1825,20251208,1800,20251208,1827,20251208,2102,20251208,2200,,,,,BKG-003117,TICK-006218,ITI-003117,TRIP-000669,1,1,,COMPLETED,,27,58,,,0,0,0,0
6213,203,17,87,20,21,0,20250326,843,20250408,1800,20250408,1809,20250408,2039,20250408,2101,,,,,BKG-003118,TICK-006219,ITI-003118,TRIP-001775,1,2,,COMPLETED,,9,22,,,0,0,0,0
6214,203,18,33,21,24,0,20250326,843,20250409,0,20250409,21,20250409,900,20250409,937,,,,,BKG-003118,TICK-006220,ITI-003118,TRIP-001776,2,2,,COMPLETED,,21,37,201,200,0,0,0,0
6215,4880,28,84,13,18,0,20241209,847,20250108,1200,20250108,1201,20250108,2059,20250108,2059,,,,,BKG-003119,TICK-006221,ITI-003119,TRIP-002713,1,2,,COMPLETED,,1,0,,,0,0,0,0
6216,4880,15,60,18,19,0,20241209,847,20250109,0,20250109,26,20250109,511,20250109,610,,,,,BKG-003119,TICK-006222,ITI-003119,TRIP-002318,2,2,,COMPLETED,,26,59,181,207,0,0,0,0
6217,894,3,14,4,6,0,20250620,1716,20250622,600,20250622,624,20250622,902,20250622,927,,,,,BKG-003120,TICK-006223,ITI-003120,TRIP-000827,1,1,,COMPLETED,,24,25,,,0,0,0,0
6218,276,17,73,20,22,0,20250719,1330,20250808,600,20250808,600,20250808,839,20250808,925,,,,,BKG-003121,TICK-006224,ITI-003121,TRIP-002714,1,3,,COMPLETED,,0,46,,,0,0,0,0
6219,276,18,57,22,24,0,20250719,1330,20250808,1200,20250808,1200,20250808,2100,20250808,2100,,,,,BKG-003121,TICK-006225,ITI-003121,TRIP-002406,2,3,,COMPLETED,,0,0,201,155,0,0,0,0
6220,276,19,74,24,25,0,20250719,1330,20250809,0,20250809,12,20250809,311,20250809,311,,,,,BKG-003121,TICK-006226,ITI-003121,TRIP-002407,3,3,,COMPLETED,,12,0,180,192,0,0,0,0
6221,1696,14,10,17,18,0,20250731,816,20250822,600,20250822,615,20250822,1802,20250822,1802,,,,,BKG-003122,TICK-006227,ITI-003122,TRIP-001749,1,1,,COMPLETED,,15,0,,,0,0,0,0
6222,1227,1,6,1,3,0,20250102,1936,20250108,600,20250108,609,20250108,1344,20250108,1417,,,,,BKG-003123,TICK-006228,ITI-003123,TRIP-001914,1,2,,COMPLETED,,9,33,,,0,0,0,0
6223,1227,2,24,3,4,0,20250102,1936,20250108,1800,20250108,1800,20250108,2046,20250108,2046,,,,,BKG-003123,TICK-006229,ITI-003123,TRIP-000280,2,2,,COMPLETED,,0,0,256,223,0,0,0,0
6224,979,16,35,19,20,0,20241223,906,20250108,600,20250108,623,20250108,1334,20250108,1408,,,,,BKG-003124,TICK-006230,ITI-003124,TRIP-002219,1,1,,COMPLETED,,23,34,,,0,0,0,0
6225,4146,26,44,1,7,0,20250421,753,20250508,1200,20250508,1205,20250508,1600,20250508,1631,,,,,BKG-003125,TICK-006231,ITI-003125,TRIP-000876,1,1,,COMPLETED,,5,31,,,0,0,0,0
6226,4874,23,50,28,29,0,20250616,855,20250622,1200,20250622,1213,20250622,1932,20250622,1947,,,,,BKG-003126,TICK-006232,ITI-003126,TRIP-000925,1,1,,COMPLETED,,13,15,,,0,0,0,0
6227,1118,2,48,3,4,0,20250110,1442,20250122,1200,20250122,1204,20250122,1446,20250122,1450,,,,,BKG-003127,TICK-006233,ITI-003127,TRIP-001196,1,2,,COMPLETED,,4,4,,,0,0,0,0
6228,1118,3,1,4,6,0,20250110,1442,20250122,1800,20250122,1831,20250122,2102,20250122,2215,,,,,BKG-003127,TICK-006234,ITI-003127,TRIP-001197,2,2,,COMPLETED,,31,73,194,221,0,0,0,0
6229,3723,22,29,27,28,3,20250401,1123,20250422,1800,20250422,1840,20250423,10,20250423,414,,,,,BKG-003128,TICK-006235,ITI-003128,TRIP-000579,1,2,,COMPLETED,,40,244,,,0,0,0,0
6230,3723,23,8,28,29,0,20250401,1123,20250423,0,20250423,0,20250423,732,20250423,734,20250423,2014,,,BKG-003128,TICK-006236,ITI-003128,TRIP-000580,2,2,CLM-000698,MISSED_CONNECTION,Pending,0,2,-10,-254,1,88000,126000,50000
6231,4315,2,24,3,5,0,20250706,1009,20250708,1200,20250708,1200,20250708,1446,20250708,1511,,,,,BKG-003129,TICK-006237,ITI-003129,TRIP-000065,1,2,,COMPLETED,,0,25,,,0,0,0,0
6232,4315,3,85,5,6,0,20250706,1009,20250708,1800,20250708,1802,20250708,2102,20250708,2102,,,,,BKG-003129,TICK-006238,ITI-003129,TRIP-000107,2,2,,COMPLETED,,2,0,194,171,0,0,0,0
6233,2665,3,75,4,6,0,20250603,1034,20250608,1800,20250608,1829,20250608,2102,20250608,2203,,,,,BKG-003130,TICK-006239,ITI-003130,TRIP-000162,1,2,,COMPLETED,,29,61,,,0,0,0,0
6234,2665,4,56,6,7,0,20250603,1034,20250609,0,20250609,32,20250609,603,20250609,603,,,,,BKG-003130,TICK-006240,ITI-003130,TRIP-001010,2,2,,COMPLETED,,32,0,178,149,0,0,0,0
6235,2343,12,54,15,16,0,20250703,1926,20250708,1800,20250708,1838,20250708,2227,20250708,2316,,,,,BKG-003131,TICK-006241,ITI-003131,TRIP-000151,1,2,,COMPLETED,,38,49,,,0,0,0,0
6236,2343,13,80,16,17,0,20250703,1926,20250709,0,20250709,11,20250709,637,20250709,700,,,,,BKG-003131,TICK-006242,ITI-003131,TRIP-000152,2,2,,COMPLETED,,11,23,93,55,0,0,0,0
6237,1990,7,57,10,11,0,20251124,730,20251222,1200,20251222,1211,20251222,2142,20251222,2227,,,,,BKG-003132,TICK-006243,ITI-003132,TRIP-000043,1,2,,COMPLETED,,11,45,,,0,0,0,0
6238,1990,8,22,11,12,0,20251124,730,20251223,0,20251223,17,20251223,605,20251223,720,,,,,BKG-003132,TICK-006244,ITI-003132,TRIP-000044,2,2,,COMPLETED,,17,75,138,110,0,0,0,0
6239,1786,25,37,30,2,0,20250928,1330,20251022,1200,20251022,1222,20251022,2138,20251022,2149,,,,,BKG-003133,TICK-006245,ITI-003133,TRIP-001721,1,2,,COMPLETED,,22,11,,,0,0,0,0
6240,1786,1,31,2,3,0,20250928,1330,20251023,0,20251023,33,20251023,744,20251023,840,,,,,BKG-003133,TICK-006246,ITI-003133,TRIP-002715,2,2,,COMPLETED,,33,56,142,164,0,0,0,0
6241,2931,9,84,12,13,0,20241221,2044,20250108,600,20250108,609,20250108,1349,20250108,1407,,,,,BKG-003134,TICK-006247,ITI-003134,TRIP-002716,1,1,,COMPLETED,,9,18,,,0,0,0,0
6242,2201,2,62,3,4,0,20250328,1042,20250422,1200,20250422,1200,20250422,1446,20250422,1501,,,,,BKG-003135,TICK-006248,ITI-003135,TRIP-002025,1,2,,COMPLETED,,0,15,,,0,0,0,0
6243,2201,3,6,4,6,0,20250328,1042,20250422,1800,20250422,1851,20250422,2102,20250422,2155,,,,,BKG-003135,TICK-006249,ITI-003135,TRIP-002026,2,2,,COMPLETED,,51,53,194,230,0,0,0,0
6244,908,17,18,20,22,0,20250901,1647,20250922,1200,20250922,1200,20250922,1439,20250922,1439,,,,,BKG-003136,TICK-006250,ITI-003136,TRIP-001109,1,2,,COMPLETED,,0,0,,,0,0,0,0
6245,908,18,67,22,24,0,20250901,1647,20250922,1800,20250922,1800,20250923,300,20250923,305,,,,,BKG-003136,TICK-006251,ITI-003136,TRIP-001110,2,2,,COMPLETED,,0,5,201,201,0,0,0,0
6246,1228,3,80,5,6,0,20250617,1804,20250708,1200,20250708,1215,20250708,1502,20250708,1525,,,,,BKG-003137,TICK-006252,ITI-003137,TRIP-001195,1,2,,COMPLETED,,15,23,,,0,0,0,0
6247,1228,4,79,6,7,0,20250617,1804,20250708,1800,20250708,1823,20250709,3,20250709,45,,,,,BKG-003137,TICK-006253,ITI-003137,TRIP-000743,2,2,,COMPLETED,,23,42,178,178,0,0,0,0
6248,875,16,40,19,20,0,20251110,1754,20251122,600,20251122,629,20251122,1334,20251122,1357,,,,,BKG-003138,TICK-006254,ITI-003138,TRIP-002717,1,1,,COMPLETED,,29,23,,,0,0,0,0
6249,2080,23,36,28,29,0,20250714,1517,20250722,600,20250722,616,20250722,1332,20250722,1332,,,,,BKG-003139,TICK-006255,ITI-003139,TRIP-000857,1,2,,COMPLETED,,16,0,,,0,0,0,0
6250,2080,24,33,29,30,0,20250714,1517,20250722,1800,20250722,1800,20250723,514,20250723,514,,,,,BKG-003139,TICK-006256,ITI-003139,TRIP-000858,2,2,,COMPLETED,,0,0,268,268,0,0,0,0
6251,4478,1,58,1,3,0,20241221,1011,20250108,1200,20250108,1216,20250108,1944,20250108,2024,,,,,BKG-003140,TICK-006257,ITI-003140,TRIP-002718,1,1,,COMPLETED,,16,40,,,0,0,0,0
6252,107,4,53,6,7,0,20250319,1255,20250322,1200,20250322,1242,20250322,1803,20250322,1909,,,,,BKG-003141,TICK-006258,ITI-003141,TRIP-002719,1,2,,COMPLETED,,42,66,,,0,0,0,0
6253,107,5,33,7,9,0,20250319,1255,20250322,1800,20250322,1813,20250323,623,20250323,655,20250323,509,20250325,2109,BKG-003141,TICK-006259,ITI-003141,TRIP-002543,2,2,CLM-000699,MISSED_CONNECTION,Approved,13,32,-3,-56,1,95000,136000,75000
6254,4843,19,54,24,25,0,20251128,1810,20251208,1200,20251208,1200,20251208,1511,20251208,1532,,,,,BKG-003142,TICK-006260,ITI-003142,TRIP-002599,1,1,,COMPLETED,,0,21,,,0,0,0,0
6255,3384,25,89,30,2,0,20251025,827,20251122,1200,20251122,1212,20251122,2138,20251122,2143,,,,,BKG-003143,TICK-006261,ITI-003143,TRIP-002720,1,3,,COMPLETED,,12,5,,,0,0,0,0
6256,3384,26,85,2,8,0,20251025,827,20251123,0,20251123,0,20251123,400,20251123,400,,,,,BKG-003143,TICK-006262,ITI-003143,TRIP-002721,2,3,,COMPLETED,,0,0,142,137,0,0,0,0
6257,3384,5,92,8,9,0,20251025,827,20251123,600,20251123,637,20251123,1823,20251123,1852,,,,,BKG-003143,TICK-006263,ITI-003143,TRIP-002722,3,3,,COMPLETED,,37,29,120,157,0,0,0,0
6258,634,9,58,12,13,0,20250707,1249,20250722,1800,20250722,1812,20250723,149,20250723,149,,,,,BKG-003144,TICK-006264,ITI-003144,TRIP-001918,1,2,,COMPLETED,,12,0,,,0,0,0,0
6259,634,10,32,13,14,0,20250707,1249,20250723,600,20250723,614,20250723,1441,20250723,1449,,,,,BKG-003144,TICK-006265,ITI-003144,TRIP-001919,2,2,,COMPLETED,,14,8,251,265,0,0,0,0
6260,1603,17,45,20,21,0,20250610,705,20250622,1200,20250622,1218,20250622,1439,20250622,1515,,,,,BKG-003145,TICK-006266,ITI-003145,TRIP-000168,1,1,,COMPLETED,,18,36,,,0,0,0,0
6261,3787,18,57,22,24,0,20250727,1204,20250808,1200,20250808,1200,20250808,2100,20250808,2100,,,,,BKG-003146,TICK-006267,ITI-003146,TRIP-002406,1,2,,COMPLETED,,0,0,,,0,0,0,0
6262,3787,19,74,24,25,0,20250727,1204,20250809,0,20250809,12,20250809,311,20250809,311,,,,,BKG-003146,TICK-006268,ITI-003146,TRIP-002407,2,2,,COMPLETED,,12,0,180,192,0,0,0,0
6263,891,26,41,1,7,0,20241221,1903,20250108,600,20250108,611,20250108,1000,20250108,1012,,,,,BKG-003147,TICK-006269,ITI-003147,TRIP-002723,1,1,,COMPLETED,,11,12,,,0,0,0,0
6264,4042,17,39,20,21,0,20241227,939,20250108,1200,20250108,1229,20250108,1439,20250108,1527,,,,,BKG-003148,TICK-006270,ITI-003148,TRIP-001579,1,2,,COMPLETED,,29,48,,,0,0,0,0
6265,4042,18,42,21,23,0,20241227,939,20250108,1800,20250108,1816,20250109,300,20250109,312,,,,,BKG-003148,TICK-006271,ITI-003148,TRIP-001988,2,2,,COMPLETED,,16,12,201,169,0,0,0,0
6266,2087,19,12,23,25,0,20250131,1403,20250222,1800,20250222,1834,20250222,2111,20250222,2221,,,,,BKG-003149,TICK-006272,ITI-003149,TRIP-000841,1,2,,COMPLETED,,34,70,,,0,0,0,0
6267,2087,30,86,25,30,0,20250131,1403,20250223,0,20250223,0,20250223,1225,20250223,1225,,,,,BKG-003149,TICK-006273,ITI-003149,TRIP-002165,2,2,,COMPLETED,,0,0,169,99,0,0,0,0
6268,3743,12,28,15,16,0,20250513,1820,20250608,1200,20250608,1233,20250608,1627,20250608,1655,,,,,BKG-003150,TICK-006274,ITI-003150,TRIP-000449,1,2,,COMPLETED,,33,28,,,0,0,0,0
6269,3743,13,51,16,17,0,20250513,1820,20250608,1800,20250608,1800,20250609,37,20250609,50,,,,,BKG-003150,TICK-006275,ITI-003150,TRIP-000450,2,2,,COMPLETED,,0,13,93,65,0,0,0,0
6270,2315,21,17,26,27,0,20251118,740,20251122,600,20251122,604,20251122,1411,20251122,1436,,,,,BKG-003151,TICK-006276,ITI-003151,TRIP-002724,1,2,,COMPLETED,,4,25,,,0,0,0,0
6271,2315,22,60,27,28,0,20251118,740,20251122,1800,20251122,1805,20251123,10,20251123,10,,,,,BKG-003151,TICK-006277,ITI-003151,TRIP-002725,2,2,,COMPLETED,,5,0,229,209,0,0,0,0
6272,227,24,74,29,30,0,20250526,2006,20250608,1800,20250608,1813,20250609,514,20250609,546,,,,,BKG-003152,TICK-006278,ITI-003152,TRIP-001459,1,2,,COMPLETED,,13,32,,,0,0,0,0
6273,227,25,79,30,1,0,20250526,2006,20250609,600,20250609,617,20250609,1538,20250609,1605,,,,,BKG-003152,TICK-006279,ITI-003152,TRIP-000346,2,2,,COMPLETED,,17,27,46,31,0,0,0,0
6274,85,7,28,10,11,0,20251123,1952,20251222,600,20251222,642,20251222,1542,20251222,1616,,,,,BKG-003153,TICK-006280,ITI-003153,TRIP-000719,1,2,,COMPLETED,,42,34,,,0,0,0,0
6275,85,8,21,11,12,0,20251123,1952,20251222,1800,20251222,1803,20251223,5,20251223,27,,,,,BKG-003153,TICK-006281,ITI-003153,TRIP-001164,2,2,,COMPLETED,,3,22,138,107,0,0,0,0
6276,3047,22,58,27,28,0,20250422,1637,20250522,600,20250522,610,20250522,1210,20250522,1236,,,,,BKG-003154,TICK-006282,ITI-003154,TRIP-001549,1,2,,COMPLETED,,10,26,,,0,0,0,0
6277,3047,23,18,28,29,0,20250422,1637,20250522,1200,20250522,1213,20250522,1932,20250522,1944,20250523,336,20250526,2236,BKG-003154,TICK-006283,ITI-003154,TRIP-000676,2,2,CLM-000700,MISSED_CONNECTION,Approved,13,12,-10,-23,1,52000,82000,50000
6278,2318,24,67,29,30,0,20250621,1944,20250622,600,20250622,605,20250622,1714,20250622,1747,,,,,BKG-003155,TICK-006284,ITI-003155,TRIP-000710,1,1,,COMPLETED,,5,33,,,0,0,0,0
6279,3098,14,86,17,18,0,20250227,749,20250308,1800,20250308,1800,20250309,602,20250309,602,,,,,BKG-003156,TICK-006285,ITI-003156,TRIP-001187,1,1,,COMPLETED,,0,0,,,0,0,0,0
6280,4331,9,58,12,13,0,20250618,1627,20250708,1200,20250708,1210,20250708,1949,20250708,2001,,,,,BKG-003157,TICK-006286,ITI-003157,TRIP-000279,1,2,,COMPLETED,,10,12,,,0,0,0,0
6281,4331,10,78,13,14,0,20250618,1627,20250709,0,20250709,26,20250709,841,20250709,921,,,,,BKG-003157,TICK-006287,ITI-003157,TRIP-001570,2,2,,COMPLETED,,26,40,251,265,0,0,0,0
6282,1020,16,26,19,20,0,20251126,1420,20251208,600,20251208,602,20251208,1334,20251208,1334,,,,,BKG-003158,TICK-006288,ITI-003158,TRIP-001578,1,2,,COMPLETED,,2,0,,,0,0,0,0
6283,1020,17,59,20,22,0,20251126,1420,20251208,1800,20251208,1800,20251208,2039,20251208,2039,,,,,BKG-003158,TICK-006289,ITI-003158,TRIP-000971,2,2,,COMPLETED,,0,0,266,266,0,0,0,0
6284,1178,25,47,30,2,0,20250821,801,20250908,1200,20250908,1200,20250908,2138,20250908,2152,,,,,BKG-003159,TICK-006290,ITI-003159,TRIP-000740,1,3,,COMPLETED,,0,14,,,0,0,0,0
6285,1178,1,20,2,3,0,20250821,801,20250909,0,20250909,22,20250909,744,20250909,744,,,,,BKG-003159,TICK-006291,ITI-003159,TRIP-000741,2,3,,COMPLETED,,22,0,142,150,0,0,0,0
6286,1178,2,54,3,5,0,20250821,801,20250909,1200,20250909,1220,20250909,1446,20250909,1541,,,,,BKG-003159,TICK-006292,ITI-003159,TRIP-000742,3,3,,COMPLETED,,20,55,256,276,0,0,0,0
6287,4819,9,35,12,13,0,20250118,1722,20250122,1200,20250122,1225,20250122,1949,20250122,2011,,,,,BKG-003160,TICK-006293,ITI-003160,TRIP-001161,1,1,,COMPLETED,,25,22,,,0,0,0,0
6288,883,18,15,21,24,0,20250720,1346,20250722,1200,20250722,1232,20250722,2100,20250722,2125,,,,,BKG-003161,TICK-006294,ITI-003161,TRIP-001865,1,3,,COMPLETED,,32,25,,,0,0,0,0
6289,883,19,86,24,25,0,20250720,1346,20250723,0,20250723,12,20250723,311,20250723,313,,,,,BKG-003161,TICK-006295,ITI-003161,TRIP-001866,2,3,,COMPLETED,,12,2,180,167,0,0,0,0
