ticket_sales_sk,passenger_sk,booking_date_sk,booking_time_sk,route_sk,sales_context_sk,promotion_sk,booking_id,ticket_number,itinerary_id,allocated_base_fare,discount_amount,tax_amount,net_ticket_revenue,loyalty_points_earned,loyalty_points_redeemed
4490,341,20250731,1444,24,5,2,BKG-002255,TICK-004490,ITI-002255,232000,23000,23000,232000,23,0
4491,341,20250731,1444,25,5,2,BKG-002255,TICK-004491,ITI-002255,214000,21000,21000,214000,21,0
4492,1057,20250915,1158,24,35,1,BKG-002256,TICK-004492,ITI-002256,392000,20000,41000,413000,41,0
4493,1334,20250701,1520,14,38,0,BKG-002257,TICK-004493,ITI-002257,343000,0,38000,381000,38,0
4494,2464,20250614,1201,20,21,0,BKG-002258,TICK-004494,ITI-002258,178000,0,20000,198000,20,0
4495,2464,20250614,1201,21,21,0,BKG-002258,TICK-004495,ITI-002258,187000,0,21000,208000,21,0
4496,1881,20250307,733,22,33,0,BKG-002259,TICK-004496,ITI-002259,148000,0,16000,164000,16,0
4497,1881,20250307,733,23,33,0,BKG-002259,TICK-004497,ITI-002259,186000,0,20000,206000,21,0
4498,2234,20251202,1715,30,12,0,BKG-002260,TICK-004498,ITI-002260,422000,0,46000,468000,47,0
4499,2234,20251202,1715,25,12,0,BKG-002260,TICK-004499,ITI-002260,321000,0,35000,356000,36,0
4500,3983,20241231,1456,4,34,0,BKG-002261,TICK-004500,ITI-002261,131000,0,14000,145000,14,0
4501,3983,20241231,1456,5,34,0,BKG-002261,TICK-004501,ITI-002261,271000,0,30000,301000,30,0
4502,4052,20251206,1142,28,36,0,BKG-002262,TICK-004502,ITI-002262,284000,0,31000,315000,32,0
4503,4052,20251206,1142,15,36,0,BKG-002262,TICK-004503,ITI-002262,134000,0,15000,149000,15,0
4504,4555,20250224,1301,30,36,0,BKG-002263,TICK-004504,ITI-002263,351000,0,39000,390000,39,0
4505,4555,20250224,1301,25,36,0,BKG-002263,TICK-004505,ITI-002263,361000,0,40000,401000,40,0
4506,3915,20250828,1146,9,33,3,BKG-002264,TICK-004506,ITI-002264,207000,10000,22000,219000,22,0
4507,3915,20250828,1146,10,33,3,BKG-002264,TICK-004507,ITI-002264,231000,12000,24000,243000,24,0
4508,745,20251122,1759,19,36,0,BKG-002265,TICK-004508,ITI-002265,151000,0,17000,168000,17,0
4509,745,20251122,1759,30,36,0,BKG-002265,TICK-004509,ITI-002265,422000,0,46000,468000,47,0
4510,4631,20250630,718,26,12,0,BKG-002266,TICK-004510,ITI-002266,111000,0,12000,123000,12,0
4511,4631,20250630,718,5,12,0,BKG-002266,TICK-004511,ITI-002266,407000,0,45000,452000,45,0
4512,4837,20250131,1111,25,26,0,BKG-002267,TICK-004512,ITI-002267,267000,0,29000,296000,30,0
4513,4837,20250131,1111,26,26,0,BKG-002267,TICK-004513,ITI-002267,93000,0,10000,103000,10,0
4514,1967,20250825,1020,25,32,0,BKG-002268,TICK-004514,ITI-002268,267000,0,29000,296000,30,30
4515,1967,20250825,1020,1,32,0,BKG-002268,TICK-004515,ITI-002268,165000,0,18000,183000,18,0
4516,634,20251122,1033,30,48,0,BKG-002269,TICK-004516,ITI-002269,569000,0,63000,632000,63,0
4517,634,20251122,1033,25,48,0,BKG-002269,TICK-004517,ITI-002269,321000,0,35000,356000,36,0
4518,3054,20251115,1716,6,36,2,BKG-002270,TICK-004518,ITI-002270,81000,8000,8000,81000,8,0
4519,601,20251113,933,6,2,0,BKG-002271,TICK-004519,ITI-002271,81000,0,9000,90000,9,0
4520,601,20251113,933,7,2,0,BKG-002271,TICK-004520,ITI-002271,245000,0,27000,272000,27,0
4521,1872,20250530,923,8,9,1,BKG-002272,TICK-004521,ITI-002272,194000,10000,20000,204000,20,0
4522,1872,20250530,923,9,9,1,BKG-002272,TICK-004522,ITI-002272,248000,12000,26000,262000,26,0
4523,4579,20251115,1445,7,39,1,BKG-002273,TICK-004523,ITI-002273,294000,15000,31000,310000,31,0
4524,4579,20251115,1445,8,39,1,BKG-002273,TICK-004524,ITI-002273,155000,8000,16000,163000,16,0
4525,1643,20250525,1841,30,21,0,BKG-002274,TICK-004525,ITI-002274,337000,0,37000,374000,37,0
4526,1643,20250525,1841,25,21,0,BKG-002274,TICK-004526,ITI-002274,321000,0,35000,356000,36,0
4527,3475,20250423,1715,13,21,0,BKG-002275,TICK-004527,ITI-002275,135000,0,15000,150000,15,0
4528,3475,20250423,1715,14,21,0,BKG-002275,TICK-004528,ITI-002275,286000,0,31000,317000,32,0
4529,731,20250318,738,8,40,0,BKG-002276,TICK-004529,ITI-002276,129000,0,14000,143000,14,0
4530,731,20250318,738,9,40,0,BKG-002276,TICK-004530,ITI-002276,165000,0,18000,183000,18,0
4531,731,20250318,738,10,40,0,BKG-002276,TICK-004531,ITI-002276,185000,0,20000,205000,20,0
4532,3327,20250521,2058,2,33,0,BKG-002277,TICK-004532,ITI-002277,59000,0,6000,65000,6,10
4533,777,20251123,1525,12,33,1,BKG-002278,TICK-004533,ITI-002278,106000,5000,11000,112000,11,0
4534,4505,20250223,2027,30,42,2,BKG-002279,TICK-004534,ITI-002279,474000,47000,47000,474000,47,0
4535,2069,20250718,2054,20,36,0,BKG-002280,TICK-004535,ITI-002280,178000,0,20000,198000,20,0
4536,2069,20250718,2054,21,36,0,BKG-002280,TICK-004536,ITI-002280,187000,0,21000,208000,21,0
4537,2069,20250718,2054,22,36,0,BKG-002280,TICK-004537,ITI-002280,222000,0,24000,246000,25,0
4538,1826,20250617,1408,8,45,2,BKG-002281,TICK-004538,ITI-002281,194000,19000,19000,194000,19,0
4539,1826,20250617,1408,9,45,2,BKG-002281,TICK-004539,ITI-002281,199000,20000,20000,199000,20,0
4540,1826,20250617,1408,10,45,2,BKG-002281,TICK-004540,ITI-002281,277000,28000,27000,276000,28,0
4541,557,20250518,2126,12,36,0,BKG-002282,TICK-004541,ITI-002282,132000,0,15000,147000,15,0
4542,4777,20250920,1450,29,32,0,BKG-002283,TICK-004542,ITI-002283,223000,0,25000,248000,25,0
4543,4777,20250920,1450,30,32,0,BKG-002283,TICK-004543,ITI-002283,351000,0,39000,390000,39,0
4544,4721,20250604,1554,1,36,0,BKG-002284,TICK-004544,ITI-002284,198000,0,22000,220000,22,0
4545,4721,20250604,1554,2,36,0,BKG-002284,TICK-004545,ITI-002284,71000,0,8000,79000,8,0
4546,4716,20250902,1915,21,36,0,BKG-002285,TICK-004546,ITI-002285,195000,0,21000,216000,22,0
4547,4716,20250902,1915,22,36,0,BKG-002285,TICK-004547,ITI-002285,148000,0,16000,164000,16,0
4548,4716,20250902,1915,23,36,0,BKG-002285,TICK-004548,ITI-002285,186000,0,20000,206000,21,0
4549,133,20251110,1854,27,36,0,BKG-002286,TICK-004549,ITI-002286,279000,0,31000,310000,31,0
4550,226,20250608,1639,3,33,0,BKG-002287,TICK-004550,ITI-002287,83000,0,9000,92000,9,0
4551,226,20250608,1639,4,33,0,BKG-002287,TICK-004551,ITI-002287,157000,0,17000,174000,17,0
4552,4805,20251019,1641,8,40,0,BKG-002288,TICK-004552,ITI-002288,218000,0,24000,242000,24,20
4553,4147,20250530,809,16,40,0,BKG-002289,TICK-004553,ITI-002289,208000,0,23000,231000,23,0
4554,4691,20241211,1415,5,34,0,BKG-002290,TICK-004554,ITI-002290,339000,0,37000,376000,38,0
4555,4691,20241211,1415,6,34,0,BKG-002290,TICK-004555,ITI-002290,81000,0,9000,90000,9,0
4556,2460,20250201,1116,6,5,1,BKG-002291,TICK-004556,ITI-002291,81000,4000,8000,85000,8,0
4557,302,20250626,1043,12,36,0,BKG-002292,TICK-004557,ITI-002292,106000,0,12000,118000,12,20
4558,302,20250626,1043,13,36,0,BKG-002292,TICK-004558,ITI-002292,162000,0,18000,180000,18,0
4559,302,20250626,1043,14,36,0,BKG-002292,TICK-004559,ITI-002292,275000,0,30000,305000,30,0
4560,765,20250612,853,12,37,0,BKG-002293,TICK-004560,ITI-002293,106000,0,12000,118000,12,0
4561,765,20250612,853,13,37,0,BKG-002293,TICK-004561,ITI-002293,162000,0,18000,180000,18,0
4562,415,20250910,734,3,33,0,BKG-002294,TICK-004562,ITI-002294,87000,0,10000,97000,10,0
4563,1604,20250625,709,17,37,1,BKG-002295,TICK-004563,ITI-002295,110000,6000,11000,115000,12,0
4564,1604,20250625,709,18,37,1,BKG-002295,TICK-004564,ITI-002295,235000,12000,25000,248000,25,0
4565,1604,20250625,709,19,37,1,BKG-002295,TICK-004565,ITI-002295,151000,8000,16000,159000,16,0
4566,1040,20251005,1150,7,23,0,BKG-002296,TICK-004566,ITI-002296,196000,0,22000,218000,22,0
4567,1040,20251005,1150,8,23,0,BKG-002296,TICK-004567,ITI-002296,129000,0,14000,143000,14,0
4568,994,20250217,1258,11,46,0,BKG-002297,TICK-004568,ITI-002297,174000,0,19000,193000,19,30
4569,994,20250217,1258,12,46,0,BKG-002297,TICK-004569,ITI-002297,148000,0,16000,164000,16,0
4570,3506,20250205,821,1,25,0,BKG-002298,TICK-004570,ITI-002298,165000,0,18000,183000,18,0
4571,3506,20250205,821,2,25,0,BKG-002298,TICK-004571,ITI-002298,74000,0,8000,82000,8,0
4572,2348,20250410,2115,4,14,0,BKG-002299,TICK-004572,ITI-002299,131000,0,14000,145000,14,0
4573,2358,20250217,1311,3,26,0,BKG-002300,TICK-004573,ITI-002300,70000,0,8000,78000,8,0
4574,2358,20250217,1311,4,26,0,BKG-002300,TICK-004574,ITI-002300,131000,0,14000,145000,14,0
4575,865,20250219,2133,18,41,2,BKG-002301,TICK-004575,ITI-002301,245000,24000,24000,245000,24,0
4576,865,20250219,2133,19,41,2,BKG-002301,TICK-004576,ITI-002301,94000,9000,9000,94000,9,0
4577,865,20250219,2133,20,41,2,BKG-002301,TICK-004577,ITI-002301,149000,15000,15000,149000,15,0
4578,4606,20250726,1006,1,28,0,BKG-002302,TICK-004578,ITI-002302,206000,0,23000,229000,23,0
4579,4606,20250726,1006,2,28,0,BKG-002302,TICK-004579,ITI-002302,100000,0,11000,111000,11,0
4580,1076,20250501,935,22,13,0,BKG-002303,TICK-004580,ITI-002303,148000,0,16000,164000,16,30
4581,1076,20250501,935,23,13,0,BKG-002303,TICK-004581,ITI-002303,149000,0,16000,165000,16,0
4582,1076,20250501,935,24,13,0,BKG-002303,TICK-004582,ITI-002303,232000,0,26000,258000,26,0
4583,1905,20250406,1600,7,48,3,BKG-002304,TICK-004583,ITI-002304,196000,10000,20000,206000,21,0
4584,823,20250105,1830,28,26,2,BKG-002305,TICK-004584,ITI-002305,190000,19000,19000,190000,19,0
4585,823,20250105,1830,29,26,2,BKG-002305,TICK-004585,ITI-002305,223000,22000,22000,223000,22,0
4586,4598,20250720,2058,4,26,0,BKG-002306,TICK-004586,ITI-002306,221000,0,24000,245000,24,0
4587,4598,20250720,2058,27,26,0,BKG-002306,TICK-004587,ITI-002306,392000,0,43000,435000,44,0
4588,861,20250616,2104,16,21,1,BKG-002307,TICK-004588,ITI-002307,259000,13000,27000,273000,27,0
4589,861,20250616,2104,17,21,1,BKG-002307,TICK-004589,ITI-002307,65000,3000,7000,69000,7,0
4590,199,20250514,2152,29,30,0,BKG-002308,TICK-004590,ITI-002308,334000,0,37000,371000,37,0
4591,199,20250514,2152,20,30,0,BKG-002308,TICK-004591,ITI-002308,178000,0,20000,198000,20,0
4592,2178,20250305,1459,7,27,1,BKG-002309,TICK-004592,ITI-002309,196000,10000,20000,206000,21,0
4593,4162,20250714,749,24,27,0,BKG-002310,TICK-004593,ITI-002310,279000,0,31000,310000,31,0
4594,3780,20250617,1945,17,34,1,BKG-002311,TICK-004594,ITI-002311,65000,3000,7000,69000,7,10
4595,3780,20250617,1945,18,34,1,BKG-002311,TICK-004595,ITI-002311,235000,12000,25000,248000,25,0
4596,3104,20250418,716,7,26,0,BKG-002312,TICK-004596,ITI-002312,245000,0,27000,272000,27,0
4597,3104,20250418,716,8,26,0,BKG-002312,TICK-004597,ITI-002312,129000,0,14000,143000,14,0
4598,3701,20250404,1626,4,10,0,BKG-002313,TICK-004598,ITI-002313,131000,0,14000,145000,14,0
4599,3260,20250618,2149,16,36,1,BKG-002314,TICK-004599,ITI-002314,208000,10000,22000,220000,22,0
4600,3260,20250618,2149,17,36,1,BKG-002314,TICK-004600,ITI-002314,82000,4000,9000,87000,9,0
4601,2980,20250510,1909,23,34,2,BKG-002315,TICK-004601,ITI-002315,186000,19000,18000,185000,18,0
4602,2980,20250510,1909,24,34,2,BKG-002315,TICK-004602,ITI-002315,232000,23000,23000,232000,23,0
4603,4191,20250710,1749,12,1,2,BKG-002316,TICK-004603,ITI-002316,132000,13000,13000,132000,13,0
4604,4191,20250710,1749,13,1,2,BKG-002316,TICK-004604,ITI-002316,162000,16000,16000,162000,16,0
4605,3011,20251004,743,9,34,0,BKG-002317,TICK-004605,ITI-002317,279000,0,31000,310000,31,10
4606,3011,20251004,743,28,34,0,BKG-002317,TICK-004606,ITI-002317,237000,0,26000,263000,26,0
4607,1542,20241223,1513,3,40,2,BKG-002318,TICK-004607,ITI-002318,87000,9000,9000,87000,9,0
4608,1542,20241223,1513,4,40,2,BKG-002318,TICK-004608,ITI-002318,164000,16000,16000,164000,16,0
4609,1942,20251212,1620,22,24,3,BKG-002319,TICK-004609,ITI-002319,222000,11000,23000,234000,23,0
4610,4135,20250103,1805,8,26,1,BKG-002320,TICK-004610,ITI-002320,129000,6000,14000,137000,14,10
4611,2639,20250513,943,16,4,0,BKG-002321,TICK-004611,ITI-002321,208000,0,23000,231000,23,0
4612,2639,20250513,943,17,4,0,BKG-002321,TICK-004612,ITI-002321,110000,0,12000,122000,12,0
4613,836,20250830,1054,24,26,0,BKG-002322,TICK-004613,ITI-002322,232000,0,26000,258000,26,0
4614,836,20250830,1054,25,26,0,BKG-002322,TICK-004614,ITI-002322,214000,0,24000,238000,24,0
4615,1235,20250103,1442,12,38,0,BKG-002323,TICK-004615,ITI-002323,148000,0,16000,164000,16,10
4616,1235,20250103,1442,13,38,0,BKG-002323,TICK-004616,ITI-002323,227000,0,25000,252000,25,0
4617,1235,20250103,1442,14,38,0,BKG-002323,TICK-004617,ITI-002323,229000,0,25000,254000,25,0
4618,2242,20250407,843,11,35,0,BKG-002324,TICK-004618,ITI-002324,218000,0,24000,242000,24,0
4619,2242,20250407,843,12,35,0,BKG-002324,TICK-004619,ITI-002324,110000,0,12000,122000,12,0
4620,2242,20250407,843,13,35,0,BKG-002324,TICK-004620,ITI-002324,168000,0,18000,186000,19,0
4621,299,20250504,2046,7,48,0,BKG-002325,TICK-004621,ITI-002325,196000,0,22000,218000,22,0
4622,299,20250504,2046,8,48,0,BKG-002325,TICK-004622,ITI-002325,129000,0,14000,143000,14,0
4623,889,20250728,2148,2,46,0,BKG-002326,TICK-004623,ITI-002326,100000,0,11000,111000,11,0
4624,4160,20250530,2043,23,48,0,BKG-002327,TICK-004624,ITI-002327,223000,0,25000,248000,25,10
4625,4160,20250530,2043,24,48,0,BKG-002327,TICK-004625,ITI-002327,279000,0,31000,310000,31,0
4626,314,20251129,1318,11,25,2,BKG-002328,TICK-004626,ITI-002328,209000,21000,21000,209000,21,0
4627,4210,20250921,1946,29,32,0,BKG-002329,TICK-004627,ITI-002329,278000,0,31000,309000,31,0
4628,4210,20250921,1946,30,32,0,BKG-002329,TICK-004628,ITI-002329,474000,0,52000,526000,53,0
4629,4210,20250921,1946,25,32,0,BKG-002329,TICK-004629,ITI-002329,214000,0,24000,238000,24,0
4630,1149,20251111,1113,9,1,0,BKG-002330,TICK-004630,ITI-002330,248000,0,27000,275000,28,0
4631,1149,20251111,1113,10,1,0,BKG-002330,TICK-004631,ITI-002330,222000,0,24000,246000,25,0
4632,4796,20250615,2110,8,4,2,BKG-002331,TICK-004632,ITI-002331,155000,16000,15000,154000,15,0
4633,3004,20250503,719,21,34,0,BKG-002332,TICK-004633,ITI-002332,156000,0,17000,173000,17,20
4634,3004,20250503,719,22,34,0,BKG-002332,TICK-004634,ITI-002332,148000,0,16000,164000,16,0
4635,309,20250702,1306,4,25,3,BKG-002333,TICK-004635,ITI-002333,157000,8000,16000,165000,16,0
4636,574,20250609,1533,13,44,0,BKG-002334,TICK-004636,ITI-002334,202000,0,22000,224000,22,0
4637,574,20250609,1533,14,44,0,BKG-002334,TICK-004637,ITI-002334,343000,0,38000,381000,38,0
4638,2907,20241222,803,16,33,0,BKG-002335,TICK-004638,ITI-002335,216000,0,24000,240000,24,0
4639,2325,20250420,907,9,36,0,BKG-002336,TICK-004639,ITI-002336,165000,0,18000,183000,18,0
4640,2325,20250420,907,10,36,0,BKG-002336,TICK-004640,ITI-002336,185000,0,20000,205000,20,0
4641,4849,20251129,921,16,29,0,BKG-002337,TICK-004641,ITI-002337,208000,0,23000,231000,23,0
4642,3532,20250217,1012,2,22,2,BKG-002338,TICK-004642,ITI-002338,74000,7000,7000,74000,7,0
4643,3532,20250217,1012,3,22,2,BKG-002338,TICK-004643,ITI-002338,70000,7000,7000,70000,7,0
4644,579,20250718,1622,11,33,2,BKG-002339,TICK-004644,ITI-002339,353000,35000,35000,353000,35,0
4645,579,20250718,1622,12,33,2,BKG-002339,TICK-004645,ITI-002339,106000,11000,10000,105000,10,0
4646,579,20250718,1622,13,33,2,BKG-002339,TICK-004646,ITI-002339,202000,20000,20000,202000,20,0
4647,2945,20250306,1611,19,8,0,BKG-002340,TICK-004647,ITI-002340,75000,0,8000,83000,8,0
4648,2945,20250306,1611,20,8,0,BKG-002340,TICK-004648,ITI-002340,251000,0,28000,279000,28,0
4649,2945,20250306,1611,21,8,0,BKG-002340,TICK-004649,ITI-002340,195000,0,21000,216000,22,0
4650,3626,20250512,1113,30,10,2,BKG-002341,TICK-004650,ITI-002341,281000,28000,28000,281000,28,0
4651,3626,20250512,1113,25,10,2,BKG-002341,TICK-004651,ITI-002341,267000,27000,26000,266000,27,0
4652,321,20251211,1017,13,6,0,BKG-002342,TICK-004652,ITI-002342,202000,0,22000,224000,22,0
4653,321,20251211,1017,14,6,0,BKG-002342,TICK-004653,ITI-002342,343000,0,38000,381000,38,0
4654,3542,20250414,1231,6,34,2,BKG-002343,TICK-004654,ITI-002343,81000,8000,8000,81000,8,0
4655,3542,20250414,1231,7,34,2,BKG-002343,TICK-004655,ITI-002343,196000,20000,19000,195000,20,0
4656,2663,20250625,1254,18,33,0,BKG-002344,TICK-004656,ITI-002344,235000,0,26000,261000,26,0
4657,2042,20250118,2147,17,44,0,BKG-002345,TICK-004657,ITI-002345,55000,0,6000,61000,6,0
4658,612,20250521,1730,1,14,2,BKG-002346,TICK-004658,ITI-002346,248000,25000,25000,248000,25,0
4659,3235,20251124,718,16,32,0,BKG-002347,TICK-004659,ITI-002347,208000,0,23000,231000,23,20
4660,3235,20251124,718,17,32,0,BKG-002347,TICK-004660,ITI-002347,82000,0,9000,91000,9,0
4661,3235,20251124,718,18,32,0,BKG-002347,TICK-004661,ITI-002347,294000,0,32000,326000,33,0
4662,2477,20250609,1445,14,48,0,BKG-002348,TICK-004662,ITI-002348,275000,0,30000,305000,30,0
4663,2477,20250609,1445,15,48,0,BKG-002348,TICK-004663,ITI-002348,134000,0,15000,149000,15,0
4664,4612,20250606,1940,17,22,0,BKG-002349,TICK-004664,ITI-002349,65000,0,7000,72000,7,0
4665,4612,20250606,1940,18,22,0,BKG-002349,TICK-004665,ITI-002349,235000,0,26000,261000,26,0
4666,4612,20250606,1940,19,22,0,BKG-002349,TICK-004666,ITI-002349,90000,0,10000,100000,10,0
4667,2813,20241227,1744,14,45,2,BKG-002350,TICK-004667,ITI-002350,286000,29000,28000,285000,28,0
4668,1676,20250527,1444,3,34,1,BKG-002351,TICK-004668,ITI-002351,104000,5000,11000,110000,11,0
4669,1676,20250527,1444,4,34,1,BKG-002351,TICK-004669,ITI-002351,197000,10000,21000,208000,21,0
4670,3393,20251121,1824,11,28,0,BKG-002352,TICK-004670,ITI-002352,209000,0,23000,232000,23,0
4671,2675,20251010,2007,23,26,0,BKG-002353,TICK-004671,ITI-002353,186000,0,20000,206000,21,0
4672,2675,20251010,2007,24,26,0,BKG-002353,TICK-004672,ITI-002353,232000,0,26000,258000,26,0
4673,2675,20251010,2007,25,26,0,BKG-002353,TICK-004673,ITI-002353,214000,0,24000,238000,24,0
4674,2350,20250321,912,13,47,3,BKG-002354,TICK-004674,ITI-002354,135000,7000,14000,142000,14,0
4675,2350,20250321,912,14,47,3,BKG-002354,TICK-004675,ITI-002354,229000,11000,24000,242000,24,0
4676,2350,20250321,912,29,47,3,BKG-002354,TICK-004676,ITI-002354,376000,19000,39000,396000,40,0
4677,3505,20250707,1128,4,12,1,BKG-002355,TICK-004677,ITI-002355,157000,8000,16000,165000,16,30
4678,3505,20250707,1128,27,12,1,BKG-002355,TICK-004678,ITI-002355,470000,24000,49000,495000,50,0
4679,586,20250613,2048,11,36,0,BKG-002356,TICK-004679,ITI-002356,209000,0,23000,232000,23,0
4680,586,20250613,2048,12,36,0,BKG-002356,TICK-004680,ITI-002356,106000,0,12000,118000,12,0
4681,731,20250620,1220,3,10,0,BKG-002357,TICK-004681,ITI-002357,83000,0,9000,92000,9,0
4682,731,20250620,1220,4,10,0,BKG-002357,TICK-004682,ITI-002357,157000,0,17000,174000,17,0
4683,731,20250620,1220,27,10,0,BKG-002357,TICK-004683,ITI-002357,279000,0,31000,310000,31,0
4684,4546,20251103,2027,22,36,1,BKG-002358,TICK-004684,ITI-002358,148000,7000,16000,157000,16,0
4685,4251,20251203,1200,27,48,0,BKG-002359,TICK-004685,ITI-002359,279000,0,31000,310000,31,30
4686,4251,20251203,1200,28,48,0,BKG-002359,TICK-004686,ITI-002359,228000,0,25000,253000,25,0
4687,1925,20250629,1247,12,33,0,BKG-002360,TICK-004687,ITI-002360,132000,0,15000,147000,15,0
4688,1925,20250629,1247,13,33,0,BKG-002360,TICK-004688,ITI-002360,202000,0,22000,224000,22,0
4689,2440,20250102,1145,26,45,1,BKG-002361,TICK-004689,ITI-002361,93000,5000,10000,98000,10,0
4690,2440,20250102,1145,5,45,1,BKG-002361,TICK-004690,ITI-002361,458000,23000,48000,483000,48,0
4691,1720,20250608,2012,23,42,0,BKG-002362,TICK-004691,ITI-002362,178000,0,20000,198000,20,0
4692,1720,20250608,2012,24,42,0,BKG-002362,TICK-004692,ITI-002362,279000,0,31000,310000,31,0
4693,3221,20250418,1315,3,21,1,BKG-002363,TICK-004693,ITI-002363,87000,4000,9000,92000,9,0
4694,3221,20250418,1315,4,21,1,BKG-002363,TICK-004694,ITI-002363,164000,8000,17000,173000,17,0
4695,3405,20251130,1826,12,45,0,BKG-002364,TICK-004695,ITI-002364,106000,0,12000,118000,12,0
4696,3405,20251130,1826,13,45,0,BKG-002364,TICK-004696,ITI-002364,162000,0,18000,180000,18,0
4697,3146,20250224,1145,22,34,0,BKG-002365,TICK-004697,ITI-002365,148000,0,16000,164000,16,0
4698,3146,20250224,1145,23,34,0,BKG-002365,TICK-004698,ITI-002365,251000,0,28000,279000,28,0
4699,1571,20250501,1536,24,39,2,BKG-002366,TICK-004699,ITI-002366,232000,23000,23000,232000,23,0
4700,1571,20250501,1536,25,39,2,BKG-002366,TICK-004700,ITI-002366,214000,21000,21000,214000,21,0
4701,2763,20250621,1446,1,41,1,BKG-002367,TICK-004701,ITI-002367,198000,10000,21000,209000,21,0
4702,1176,20250722,730,16,32,3,BKG-002368,TICK-004702,ITI-002368,216000,11000,23000,228000,23,0
4703,1176,20250722,730,17,32,3,BKG-002368,TICK-004703,ITI-002368,55000,3000,6000,58000,6,0
4704,418,20250921,1055,27,36,2,BKG-002369,TICK-004704,ITI-002369,232000,23000,23000,232000,23,0
4705,418,20250921,1055,28,36,2,BKG-002369,TICK-004705,ITI-002369,190000,19000,19000,190000,19,0
4706,3744,20251214,1656,14,33,0,BKG-002370,TICK-004706,ITI-002370,275000,0,30000,305000,30,0
4707,3744,20251214,1656,29,33,0,BKG-002370,TICK-004707,ITI-002370,451000,0,50000,501000,50,0
4708,3157,20250617,1617,25,34,0,BKG-002371,TICK-004708,ITI-002371,257000,0,28000,285000,28,0
4709,3157,20250617,1617,26,34,0,BKG-002371,TICK-004709,ITI-002371,111000,0,12000,123000,12,0
4710,1230,20241225,1723,7,36,0,BKG-002372,TICK-004710,ITI-002372,245000,0,27000,272000,27,0
4711,1230,20241225,1723,8,36,0,BKG-002372,TICK-004711,ITI-002372,129000,0,14000,143000,14,0
4712,3189,20250621,707,24,25,0,BKG-002373,TICK-004712,ITI-002373,279000,0,31000,310000,31,0
4713,3048,20250529,1751,3,34,0,BKG-002374,TICK-004713,ITI-002374,83000,0,9000,92000,9,0
4714,3048,20250529,1751,4,34,0,BKG-002374,TICK-004714,ITI-002374,197000,0,22000,219000,22,0
4715,588,20250815,733,24,48,2,BKG-002375,TICK-004715,ITI-002375,232000,23000,23000,232000,23,0
4716,588,20250815,733,25,48,2,BKG-002375,TICK-004716,ITI-002375,214000,21000,21000,214000,21,0
4717,588,20250815,733,26,48,2,BKG-002375,TICK-004717,ITI-002375,116000,12000,11000,115000,12,0
4718,4774,20250405,1244,12,34,0,BKG-002376,TICK-004718,ITI-002376,148000,0,16000,164000,16,0
4719,405,20250420,2014,13,1,0,BKG-002377,TICK-004719,ITI-002377,135000,0,15000,150000,15,0
4720,405,20250420,2014,14,1,0,BKG-002377,TICK-004720,ITI-002377,286000,0,31000,317000,32,0
4721,405,20250420,2014,15,1,0,BKG-002377,TICK-004721,ITI-002377,140000,0,15000,155000,16,0
4722,2802,20251113,1824,9,36,0,BKG-002378,TICK-004722,ITI-002378,199000,0,22000,221000,22,0
4723,2802,20251113,1824,28,36,0,BKG-002378,TICK-004723,ITI-002378,284000,0,31000,315000,32,0
4724,402,20250628,1757,4,10,0,BKG-002379,TICK-004724,ITI-002379,197000,0,22000,219000,22,0
4725,402,20250628,1757,5,10,0,BKG-002379,TICK-004725,ITI-002379,550000,0,60000,610000,61,0
4726,402,20250628,1757,6,10,0,BKG-002379,TICK-004726,ITI-002379,98000,0,11000,109000,11,0
4727,2744,20251015,1820,30,48,0,BKG-002380,TICK-004727,ITI-002380,351000,0,39000,390000,39,20
4728,2744,20251015,1820,25,48,0,BKG-002380,TICK-004728,ITI-002380,267000,0,29000,296000,30,0
4729,2492,20250416,1339,9,36,1,BKG-002381,TICK-004729,ITI-002381,165000,8000,17000,174000,17,0
4730,2492,20250416,1339,10,36,1,BKG-002381,TICK-004730,ITI-002381,185000,9000,19000,195000,20,0
4731,2492,20250416,1339,11,36,1,BKG-002381,TICK-004731,ITI-002381,174000,9000,18000,183000,18,0
4732,3525,20251205,1418,24,2,2,BKG-002382,TICK-004732,ITI-002382,470000,47000,47000,470000,47,30
4733,3810,20250712,851,26,48,1,BKG-002383,TICK-004733,ITI-002383,111000,6000,12000,117000,12,0
4734,3810,20250712,851,27,48,1,BKG-002383,TICK-004734,ITI-002383,279000,14000,29000,294000,29,0
4735,1011,20250909,1159,21,11,0,BKG-002384,TICK-004735,ITI-002384,156000,0,17000,173000,17,20
4736,3393,20250612,1127,30,8,0,BKG-002385,TICK-004736,ITI-002385,422000,0,46000,468000,47,0
4737,3393,20250612,1127,25,8,0,BKG-002385,TICK-004737,ITI-002385,257000,0,28000,285000,28,0
4738,365,20250330,1338,3,21,1,BKG-002386,TICK-004738,ITI-002386,117000,6000,12000,123000,12,0
4739,365,20250330,1338,4,21,1,BKG-002386,TICK-004739,ITI-002386,164000,8000,17000,173000,17,0
4740,365,20250330,1338,5,21,1,BKG-002386,TICK-004740,ITI-002386,339000,17000,35000,357000,36,0
4741,551,20250604,2008,4,9,0,BKG-002387,TICK-004741,ITI-002387,197000,0,22000,219000,22,20
